"Codigo";"UF";"Municipio";"Br/Pr";"Br/Pa";"Br/Am";"Br/In";"Pr/Pa";"Classe"
4200051;"SC";"Abdon Batista";1,77;2,08;NA;NA;1,17;"Até 5 mil"
1700251;"TO";"Abreulândia";0,26;1,27;1,5;1,27;4,93;"Até 5 mil"
3100401;"MG";"Acaiaca";1,43;1,44;1,54;2,35;1,01;"Até 5 mil"
4300034;"RS";"Aceguá";2,62;2,07;1,99;2,74;0,79;"Até 5 mil"
5200159;"GO";"Adelândia";1,6;1,35;1,02;0,48;0,85;"Até 5 mil"
3500204;"SP";"Adolfo";1,22;1,24;0,8;1,01;1,02;"Até 5 mil"
4200309;"SC";"Agronômica";1,65;1,31;1,1;NA;0,79;"Até 5 mil"
3100708;"MG";"Água Comprida";1,15;1,2;1,23;NA;1,05;"Até 5 mil"
5200209;"GO";"Água Limpa";1,5;1,11;1,07;2,69;0,74;"Até 5 mil"
2400406;"RN";"Água Nova";1,37;1,2;NA;NA;0,87;"Até 5 mil"
4300059;"RS";"Água Santa";2,29;2,34;1,14;3,23;1,02;"Até 5 mil"
3100807;"MG";"Aguanil";1,42;1,18;0,79;1,95;0,83;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";2,68;2,13;0,68;NA;0,79;"Até 5 mil"
4200556;"SC";"Águas Frias";1,36;1,36;1,36;2,51;1;"Até 5 mil"
2900603;"BA";"Aiquara";1,44;1,22;1,17;NA;0,85;"Até 5 mil"
3101300;"MG";"Alagoa";1,37;1,23;0,96;NA;0,9;"Até 5 mil"
3500758;"SP";"Alambari";1,28;1,28;0,39;NA;1;"Até 5 mil"
3101409;"MG";"Albertina";1,25;1,24;0,69;NA;0,99;"Até 5 mil"
5000252;"MS";"Alcinópolis";2,03;1,72;1,78;3,6;0,85;"Até 5 mil"
4300455;"RS";"Alegria";2,39;1,94;1,99;NA;0,81;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1,24;1,31;1,11;1,91;1,05;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";1,13;1,15;1,06;NA;1,02;"Até 5 mil"
2400604;"RN";"Almino Afonso";1,15;1,25;1,77;NA;1,09;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";1,73;1,47;1,97;NA;0,85;"Até 5 mil"
5200506;"GO";"Aloândia";1,6;1,17;1,22;1,56;0,73;"Até 5 mil"
3500907;"SP";"Altair";1,29;1,26;0,95;1,11;0,98;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";0,92;1,37;0,61;1,13;1,49;"Até 5 mil"
3501103;"SP";"Alto Alegre";1,22;1,22;0,89;2,87;1;"Até 5 mil"
4300554;"RS";"Alto Alegre";1,83;1,6;2,08;3;0,87;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";0,86;0,75;0,53;NA;0,87;"Até 5 mil"
