"Codigo";"UF";"Municipio";"Total";"Ate70R$";"Ate1/4";"Ate1/2";"Ate60%";"Classe"
4200051;"SC";"Abdon Batista";2623;6,4;17,42;40,37;32,86;"Até 5 mil"
1700251;"TO";"Abreulândia";2134;16,26;31,44;63,96;55,01;"Até 5 mil"
3100401;"MG";"Acaiaca";3794;7,41;25,7;59,54;48,5;"Até 5 mil"
4300034;"RS";"Aceguá";4266;4,24;14,74;40,06;33,15;"Até 5 mil"
5200159;"GO";"Adelândia";2430;2,18;10,53;37,24;28,15;"Até 5 mil"
3500204;"SP";"Adolfo";3466;0,72;3,81;17,22;12,81;"Até 5 mil"
4200309;"SC";"Agronômica";4851;0,56;3,75;17,03;13,09;"Até 5 mil"
3100708;"MG";"Água Comprida";1977;0,25;4,4;26,5;18,41;"Até 5 mil"
5200209;"GO";"Água Limpa";1950;1,95;6,62;32,77;21,95;"Até 5 mil"
2400406;"RN";"Água Nova";2790;19,64;41,79;71,76;64,05;"Até 5 mil"
4300059;"RS";"Água Santa";3622;1,05;6,65;21,56;16,84;"Até 5 mil"
3100807;"MG";"Aguanil";3932;1,63;10,27;37,28;27,34;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";2638;0,45;1,21;7,92;5,8;"Até 5 mil"
4200556;"SC";"Águas Frias";2389;2,05;5,78;18,75;14,82;"Até 5 mil"
2900603;"BA";"Aiquara";4461;13,14;32,71;68,3;59,11;"Até 5 mil"
3101300;"MG";"Alagoa";2623;6,1;21,04;48,8;39,53;"Até 5 mil"
3500758;"SP";"Alambari";4800;1,94;7,92;28,98;21,71;"Até 5 mil"
3101409;"MG";"Albertina";2887;0,35;3,78;21,79;14,89;"Até 5 mil"
5000252;"MS";"Alcinópolis";4509;0,93;4,28;28,28;19,92;"Até 5 mil"
4300455;"RS";"Alegria";4245;5,32;14,96;33,14;27,21;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";3843;0,62;4,61;23,47;16,52;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";2257;24,81;48,83;75,72;68,23;"Até 5 mil"
2400604;"RN";"Almino Afonso";4762;17,72;36,18;66,9;58,48;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";2060;1,84;7,18;20,63;16,12;"Até 5 mil"
5200506;"GO";"Aloândia";1990;1,61;8,99;29,45;21,51;"Até 5 mil"
3500907;"SP";"Altair";3763;0,4;5,79;23,78;18,1;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";4220;6,16;20,5;52,65;44,05;"Até 5 mil"
3501103;"SP";"Alto Alegre";4010;0,77;4,04;22,42;15,44;"Até 5 mil"
4300554;"RS";"Alto Alegre";1814;2,59;8,32;21,61;18,03;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";1958;1,63;5,87;19,97;15,22;"Até 5 mil"
4300570;"RS";"Alto Feliz";2878;0,63;1,63;6,43;4,17;"Até 5 mil"
5200555;"GO";"Alto Horizonte";4408;1,18;7,96;32,37;24,64;"Até 5 mil"
4128625;"PR";"Alto Paraíso";2982;2,15;9,99;36,79;26,69;"Até 5 mil"
3102209;"MG";"Alvarenga";4152;14,23;32,92;62,81;55,18;"Até 5 mil"
3501202;"SP";"Álvares Florence";3700;1,24;4,46;24,81;16,49;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";3222;1,92;8,1;32,18;25,39;"Até 5 mil"
3501509;"SP";"Alvinlândia";2972;1,11;5,85;32,6;22,71;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";3161;20,72;45,3;70,83;65,74;"Até 5 mil"
5200829;"GO";"Amaralina";3042;7,99;29,65;64,27;55,56;"Até 5 mil"
5200902;"GO";"Amorinópolis";3395;2,86;10,28;32,93;23,24;"Até 5 mil"
2500734;"PB";"Amparo";1984;20,97;41,43;74,04;64,82;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";2256;19,55;36,04;70,35;62,41;"Até 5 mil"
4101051;"PR";"Anahy";2839;1,55;8,28;35,44;24,97;"Até 5 mil"
3502002;"SP";"Analândia";4228;0,59;4,94;22,78;17,08;"Até 5 mil"
4300661;"RS";"André da Rocha";1203;0,58;6,98;20,78;15,79;"Até 5 mil"
1701051;"TO";"Angico";3088;13,44;29,6;65,09;57,58;"Até 5 mil"
4101150;"PR";"Ângulo";2793;0,5;4,3;23,63;17,72;"Até 5 mil"
5201207;"GO";"Anhanguera";1010;0,69;3,96;19,8;13,37;"Até 5 mil"
3502408;"SP";"Anhumas";3622;1,88;8,31;30,01;23,5;"Até 5 mil"
4201109;"SC";"Anitápolis";3176;3,02;10,48;30,2;24,12;"Até 5 mil"
