"Codigo";"UF";"Municipio";"Total_2000";"Total_2010";"15-24_2000";"15-24_2010";"25-59_2000";"25-59_2010";"60+_2000";"60+_2010";"Classe"
4200051;"SC";"Abdon Batista";10,85;9,73;2,74;1,88;9,59;8,15;33,06;23,94;"Até 5 mil"
1700251;"TO";"Abreulândia";20,75;13,38;7,01;3,41;21,66;11,75;56,96;36,09;"Até 5 mil"
3100401;"MG";"Acaiaca";18,97;13,94;5,22;2,45;17,55;9,61;46,25;39,39;"Até 5 mil"
4300034;"RS";"Aceguá";NA;6,4;NA;0,89;NA;4,96;NA;17,68;"Até 5 mil"
5200159;"GO";"Adelândia";20,75;14,65;4,88;3,34;18,63;9,34;61,86;47,21;"Até 5 mil"
3500204;"SP";"Adolfo";13,14;8,13;1,8;0,9;8,94;4,16;47,09;27,61;"Até 5 mil"
4200309;"SC";"Agronômica";6,92;5,49;2,18;0,58;5,55;4,07;21,97;18,74;"Até 5 mil"
3100708;"MG";"Água Comprida";9,84;7,87;3,2;1,71;8,36;6,29;27,65;20;"Até 5 mil"
5200209;"GO";"Água Limpa";14,69;10,13;6,4;1,22;11,13;7,22;44,86;27,61;"Até 5 mil"
2400406;"RN";"Água Nova";42,15;22,66;21,85;2,75;45,91;22,74;74,25;58,7;"Até 5 mil"
4300059;"RS";"Água Santa";8,34;5,39;1,4;1,43;5,04;3,65;33,65;16,47;"Até 5 mil"
3100807;"MG";"Aguanil";17,96;13,15;3,92;1,8;14,13;10,04;49,89;34,48;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";2,94;1,45;0,62;0,57;2,06;1,52;6,74;1,78;"Até 5 mil"
4200556;"SC";"Águas Frias";9,43;9,09;2,94;1,22;7,84;6,88;28,19;26,67;"Até 5 mil"
2900603;"BA";"Aiquara";32,64;23,76;12,82;3,58;34,89;22,62;65,59;55,66;"Até 5 mil"
3101300;"MG";"Alagoa";17,16;14,44;3,36;2,24;14,46;12,21;43,49;33,5;"Até 5 mil"
3500758;"SP";"Alambari";11,13;6,57;1,59;0,95;9,73;4,34;37,75;23,64;"Até 5 mil"
3101409;"MG";"Albertina";16,14;11,94;1,91;1,26;13,93;8,63;48,87;37,11;"Até 5 mil"
5000252;"MS";"Alcinópolis";14,37;11,04;3,89;1,3;15,84;10,16;37,04;37,8;"Até 5 mil"
4300455;"RS";"Alegria";12,25;10,13;2,1;2;9,96;6;33,33;24,69;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";11,2;10,13;2,63;1,33;7,32;4,76;32,97;29,24;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";48,54;32,68;26,02;4,54;54,94;34,5;74,14;69,35;"Até 5 mil"
2400604;"RN";"Almino Afonso";32,89;25,05;15,04;6,36;34,3;25,05;60,07;51,89;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";NA;4,27;NA;1,36;NA;2,85;NA;10,8;"Até 5 mil"
5200506;"GO";"Aloândia";18,86;14,93;1,66;3,16;13,83;9,55;55,26;38,1;"Até 5 mil"
3500907;"SP";"Altair";14,72;10,2;5,56;2,92;12,45;9,06;47,39;27,03;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";23,33;17,57;4,63;2,03;24,95;15,42;62,35;45,62;"Até 5 mil"
3501103;"SP";"Alto Alegre";13,31;8,56;2,47;0,94;8,37;5,2;39,97;22,65;"Até 5 mil"
4300554;"RS";"Alto Alegre";8,13;7,26;1,36;1,1;6,37;4,84;22,92;18,5;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";4,96;4,04;2,85;1,84;3,7;2,89;10,9;8,4;"Até 5 mil"
4300570;"RS";"Alto Feliz";4,36;2,69;0,72;0,91;2,82;1,02;11,49;8,72;"Até 5 mil"
5200555;"GO";"Alto Horizonte";15,53;12,39;2,49;1,25;15,36;10,72;46,63;49,18;"Até 5 mil"
4128625;"PR";"Alto Paraíso";19,56;14,66;3,75;1,9;19,68;12,01;52,56;40,29;"Até 5 mil"
3102209;"MG";"Alvarenga";24,82;18,13;7,52;2,17;24,74;14,15;55,43;48,25;"Até 5 mil"
3501202;"SP";"Álvares Florence";14,2;9,22;1,38;0,95;9,52;4,8;41,39;25,12;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";15,08;8,84;5,5;1,48;12,74;5,76;53,96;39,17;"Até 5 mil"
3501509;"SP";"Alvinlândia";15,14;10,52;2,06;1;12,56;7,06;50,84;34,51;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";28,1;20,6;13,08;5,56;28,31;21,13;55,49;44,97;"Até 5 mil"
5200829;"GO";"Amaralina";23;15,87;5,35;1,83;23,43;14,37;60,98;43,28;"Até 5 mil"
5200902;"GO";"Amorinópolis";18,63;18,12;3,02;1,38;16,32;12,9;53,42;48,22;"Até 5 mil"
2500734;"PB";"Amparo";34,44;21,49;13,18;2,77;38,31;21,44;65,13;49,62;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";32,61;23,84;13,54;6,09;35,81;23,85;62,98;55,42;"Até 5 mil"
4101051;"PR";"Anahy";15,36;11,82;2,9;0,89;14,32;7,97;40,94;34,38;"Até 5 mil"
3502002;"SP";"Analândia";7,98;6,61;1,62;1,8;5,67;5,23;28,68;16,8;"Até 5 mil"
4300661;"RS";"André da Rocha";7,67;6,67;1,71;1,76;5,45;5,34;22,08;14,56;"Até 5 mil"
1701051;"TO";"Angico";20,91;17,56;5,45;3,73;20,37;14,35;58,7;52,72;"Até 5 mil"
4101150;"PR";"Ângulo";16,82;11,29;4,14;0,82;14,11;8,47;46,98;34,64;"Até 5 mil"
5201207;"GO";"Anhanguera";9,77;3,73;1,18;0,68;7,27;1,76;35,42;13,61;"Até 5 mil"
3502408;"SP";"Anhumas";15,01;7,87;3,37;0,94;11,62;5,18;48,4;25,48;"Até 5 mil"
4201109;"SC";"Anitápolis";13,92;10,7;3,25;3,09;12,99;8,4;32,4;26,17;"Até 5 mil"
2200806;"PI";"Antônio Almeida";26,8;24,8;10,32;6;27,44;21,94;59,25;65,83;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";13,1;11,08;1,63;2,05;10,92;7,46;34,98;26,85;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";17,57;12,9;3,8;2,01;17,68;9,42;47,44;43,6;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";20,51;14,93;4,99;1,3;20,03;11,2;64,31;49,36;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";18,07;12,1;2,16;1,55;11,35;6,4;57,3;34,68;"Até 5 mil"
5201504;"GO";"Aporé";16,3;12,81;4,52;1,7;15,16;11,14;48,89;39,03;"Até 5 mil"
4201273;"SC";"Arabutã";5,35;4,04;1,05;0,51;3,85;2,58;16,95;10,39;"Até 5 mil"
3103207;"MG";"Araçaí";9,01;10,29;1,64;1,61;8,35;8,17;26,27;28,01;"Até 5 mil"
3103306;"MG";"Aracitaba";19,65;12,6;6,74;1,25;16,94;10,31;45,29;29,21;"Até 5 mil"
5201603;"GO";"Araçu";20,88;16,23;2,84;1,98;19,21;11,54;57,37;45,06;"Até 5 mil"
5101001;"MT";"Araguaiana";15,86;12,42;4,42;0,93;16,11;10,48;47,52;37,53;"Até 5 mil"
5101209;"MT";"Araguainha";18,7;14,59;5,22;0,64;15,47;9,16;52,63;44,12;"Até 5 mil"
4300851;"RS";"Arambaré";14,02;7,38;3,77;1;12,72;5,83;30,21;15,65;"Até 5 mil"
3103603;"MG";"Arantina";15,11;10,34;3,16;2,04;10,28;6,13;50,57;31,62;"Até 5 mil"
3503158;"SP";"Arapeí";14,47;7,67;2,27;1,2;10,24;4,27;44,18;26,35;"Até 5 mil"
3103801;"MG";"Arapuá";12,96;7,98;1,5;NA;10,08;4,11;39,71;24,85;"Até 5 mil"
4101655;"PR";"Arapuã";21;16,59;5,87;2,06;20,31;11,35;49,31;44,8;"Até 5 mil"
4300877;"RS";"Araricá";6,54;4,93;2,88;0,26;5,05;3,55;20,67;17,65;"Até 5 mil"
3503356;"SP";"Arco-Íris";17,92;15,3;0,76;1,61;13,13;7,61;57,34;48,67;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";38,2;32,56;16,94;7,52;43,33;35,76;65,99;69,01;"Até 5 mil"
3503505;"SP";"Areias";15,03;8,44;4,69;1,42;11,85;6,06;45,45;27,17;"Até 5 mil"
5202353;"GO";"Arenópolis";20,4;15,6;2,89;1,07;19,45;9,1;56,68;49,23;"Até 5 mil"
3104403;"MG";"Argirita";13,79;10,47;4,03;1,27;10,18;6,48;35,97;27,97;"Até 5 mil"
3104452;"MG";"Aricanduva";30,14;21,37;7,05;1,44;33,52;20,46;69,29;58,9;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";21,92;15,14;3,55;1,82;22,42;11,41;53,04;38,14;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";NA;36,64;NA;5,42;NA;37,36;NA;69,97;"Até 5 mil"
2201002;"PI";"Arraial";38,99;31,52;18,7;6,36;40,45;32,7;74,94;69,87;"Até 5 mil"
4301073;"RS";"Arroio do Padre";NA;4,76;NA;0,96;NA;3,73;NA;10,36;"Até 5 mil"
4201604;"SC";"Arroio Trinta";10,59;5,62;1,88;1,08;8,19;3,77;39,87;17,09;"Até 5 mil"
4201653;"SC";"Arvoredo";17,34;10,1;4,43;0,72;17,51;8,18;44,44;30,48;"Até 5 mil"
3503950;"SP";"Aspásia";17,75;12,47;2,89;1,02;13,23;7,97;50,98;35,9;"Até 5 mil"
2501351;"PB";"Assunção";30,52;26,26;13,47;4,08;31,72;27,76;61,06;57,87;"Até 5 mil"
4102208;"PR";"Atalaia";13,33;9,29;1,26;0,68;11,78;5,77;39,95;28,73;"Até 5 mil"
4201802;"SC";"Atalanta";5,01;4,1;1,34;0,52;3,6;2,89;17,91;13,3;"Até 5 mil"
3104809;"MG";"Augusto de Lima";18,66;14,47;6,47;2,92;15,77;11,93;50,73;36,93;"Até 5 mil"
4301552;"RS";"Áurea";8,35;5,42;1,61;1,01;6,08;3,16;23,92;14,27;"Até 5 mil"
5202601;"GO";"Aurilândia";17,51;15,3;5,5;1,16;14,99;11,65;44,49;36,97;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";28,28;20,97;7,89;2,4;30,46;17,18;67,29;58,18;"Até 5 mil"
3504305;"SP";"Avaí";12,2;7,86;1,85;1,31;10,41;5,69;35,71;25,78;"Até 5 mil"
5202809;"GO";"Avelinópolis";19,27;13,52;3,75;1,05;19,51;11,65;51,26;34,85;"Até 5 mil"
3504701;"SP";"Balbinos";10,93;6,04;0,91;2,64;7,32;4,65;34,25;31,06;"Até 5 mil"
5203104;"GO";"Baliza";22,93;17,35;5,12;1,84;22;16,19;53,44;44,03;"Até 5 mil"
3105202;"MG";"Bandeira";37,99;30,6;11,08;3,99;40,67;25,98;78,21;71,69;"Até 5 mil"
4202081;"SC";"Bandeirante";12,6;8,92;4,93;2,36;11,35;6,86;27,89;20,73;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";22,53;17,6;11,58;4,35;24,03;16,87;51,63;46,44;"Até 5 mil"
1501253;"PA";"Bannach";24,42;18,28;10,81;3,96;29,4;18,83;54,05;47,1;"Até 5 mil"
