"Codigo";"UF";"Municipio";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Classe"
4200051;"SC";"Abdon Batista";13,75;24,47;29,78;49,65;56,47;25,89;"Até 5 mil"
1700251;"TO";"Abreulândia";1,96;10,13;45,54;53,16;52,5;36,71;"Até 5 mil"
3100401;"MG";"Acaiaca";49,75;58,92;17,87;19,51;32,38;21,57;"Até 5 mil"
4300034;"RS";"Aceguá";NA;25,34;NA;59,06;NA;15,6;"Até 5 mil"
5200159;"GO";"Adelândia";0,81;22,04;81,68;67,42;17,5;10,55;"Até 5 mil"
3500204;"SP";"Adolfo";81,6;87;9,39;10,42;9,01;2,58;"Até 5 mil"
4200309;"SC";"Agronômica";16,22;30,46;30,18;48,15;53,6;21,39;"Até 5 mil"
3100708;"MG";"Água Comprida";63,14;71,09;5,45;18,76;31,41;10,16;"Até 5 mil"
5200209;"GO";"Água Limpa";2,04;5,99;72,26;67,44;25,69;26,57;"Até 5 mil"
2400406;"RN";"Água Nova";NA;5,81;63,05;80,43;36,95;13,76;"Até 5 mil"
4300059;"RS";"Água Santa";6,52;27,12;50,71;67,3;42,77;5,58;"Até 5 mil"
3100807;"MG";"Aguanil";46,84;63,86;20,52;17,22;32,64;18,92;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";99,02;97,88;0,98;2,12;NA;NA;"Até 5 mil"
4200556;"SC";"Águas Frias";17,74;22,38;47,71;52,21;34,56;25,41;"Até 5 mil"
2900603;"BA";"Aiquara";43,5;55,92;14,03;15,38;42,48;28,7;"Até 5 mil"
3101300;"MG";"Alagoa";34,37;44,69;31,4;33,83;34,24;21,48;"Até 5 mil"
3500758;"SP";"Alambari";49,33;56,07;39,77;36,85;10,89;7,08;"Até 5 mil"
3101409;"MG";"Albertina";60,2;67,82;6,68;18,26;33,12;13,92;"Até 5 mil"
5000252;"MS";"Alcinópolis";0,18;0,38;59,82;67,3;40;32,33;"Até 5 mil"
4300455;"RS";"Alegria";0,06;5,23;49,64;79,07;50,29;15,69;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";73,15;82,12;8,2;7,57;18,65;10,31;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";3,17;12,78;32,28;48,59;64,55;38,63;"Até 5 mil"
2400604;"RN";"Almino Afonso";23,55;6,62;41,36;69,64;35,09;23,75;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";NA;11,26;NA;72,12;NA;16,62;"Até 5 mil"
5200506;"GO";"Aloândia";9,36;21,88;72,59;66,5;18,05;11,63;"Até 5 mil"
3500907;"SP";"Altair";72,21;78,78;20,82;21,05;6,97;0,17;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";1,13;1,74;38,78;56,88;60,08;41,38;"Até 5 mil"
3501103;"SP";"Alto Alegre";64,97;78,33;9,77;7,05;25,26;14,62;"Até 5 mil"
4300554;"RS";"Alto Alegre";0,66;12,04;33,55;83,79;65,78;4,17;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";14,5;24,04;44,01;54,57;41,48;21,39;"Até 5 mil"
4300570;"RS";"Alto Feliz";30,19;49,65;58,74;47,25;11,07;3,1;"Até 5 mil"
5200555;"GO";"Alto Horizonte";0,4;1,86;66,89;83,96;32,72;14,18;"Até 5 mil"
4128625;"PR";"Alto Paraíso";1,33;8,12;71,29;64,89;27,38;26,98;"Até 5 mil"
3102209;"MG";"Alvarenga";24,8;42,94;21,85;15,26;53,35;41,8;"Até 5 mil"
3501202;"SP";"Álvares Florence";60,75;67,72;5,69;17,23;33,56;15,06;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";77,3;89,92;8,19;4,94;14,51;5,14;"Até 5 mil"
3501509;"SP";"Alvinlândia";80,19;89,45;7,68;6,7;12,13;3,85;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";2,7;25,16;30,16;28,78;67,14;46,07;"Até 5 mil"
5200829;"GO";"Amaralina";8,86;23,1;45,94;26,21;45,2;50,69;"Até 5 mil"
5200902;"GO";"Amorinópolis";1,3;7,93;71,57;68,12;27,13;23,95;"Até 5 mil"
2500734;"PB";"Amparo";0,67;10,38;35,92;43,55;63,41;46,07;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";6,33;18,04;73,93;66,86;19,74;15,1;"Até 5 mil"
4101051;"PR";"Anahy";0,36;27,93;59,88;50,11;39,76;21,96;"Até 5 mil"
3502002;"SP";"Analândia";73,35;75,84;11,19;10,92;15,46;13,25;"Até 5 mil"
4300661;"RS";"André da Rocha";39,23;32,94;46,02;61,18;14,75;5,88;"Até 5 mil"
1701051;"TO";"Angico";0,15;0,83;73,88;76,01;25,97;23,16;"Até 5 mil"
4101150;"PR";"Ângulo";0,6;1,19;87,24;89,94;12,15;8,87;"Até 5 mil"
5201207;"GO";"Anhanguera";10,51;10;80,43;84,57;9,06;5,43;"Até 5 mil"
3502408;"SP";"Anhumas";70,04;82,15;8,87;5,72;21,09;12,13;"Até 5 mil"
4201109;"SC";"Anitápolis";20,74;22,42;36,57;70,6;42,7;6,98;"Até 5 mil"
2200806;"PI";"Antônio Almeida";0,14;7,61;65,03;71,74;34,83;20,65;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";53,89;59,17;11,48;25;34,63;15,83;"Até 5 mil"
