"Codigo";"UF";"Municipio";"Analf_2000";"Analf_2010";"Inadequado_2000";"Inadequado_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Classe"
4200051;"SC";"Abdon Batista";17,99;10,14;56,47;29,47;10,79;3,86;"Até 5 mil"
1700251;"TO";"Abreulândia";28,81;12,5;46,78;41,67;19,66;5,56;"Até 5 mil"
3100401;"MG";"Acaiaca";29,1;12,54;28,86;17,04;11,19;4,5;"Até 5 mil"
4300034;"RS";"Aceguá";NA;8,66;NA;17,31;NA;2,99;"Até 5 mil"
5200159;"GO";"Adelândia";18,49;8,02;17,74;6,95;0,75;0;"Até 5 mil"
3500204;"SP";"Adolfo";10,63;5,69;9,97;0,41;0;0;"Até 5 mil"
4200309;"SC";"Agronômica";7,55;4,47;56,52;23,53;4,35;0,71;"Até 5 mil"
3100708;"MG";"Água Comprida";11,76;10,4;36,27;15,2;1,47;3,2;"Até 5 mil"
5200209;"GO";"Água Limpa";11,93;5,97;31,69;28,36;2,47;0,75;"Até 5 mil"
2400406;"RN";"Água Nova";58,24;32,81;38,83;21,34;28,99;9,49;"Até 5 mil"
4300059;"RS";"Água Santa";9,07;4,08;41,4;5,1;4,42;0;"Até 5 mil"
3100807;"MG";"Aguanil";18,28;10,1;31,99;13,47;5,91;3,03;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";7,48;3,82;0;0;0;0;"Até 5 mil"
4200556;"SC";"Águas Frias";12,94;8,02;36,86;27,16;6,67;3,7;"Até 5 mil"
2900603;"BA";"Aiquara";55,39;31,74;46,63;27,17;27,78;10,96;"Até 5 mil"
3101300;"MG";"Alagoa";15,93;10;32,2;27,37;8,14;1,58;"Até 5 mil"
3500758;"SP";"Alambari";13,57;4,06;9,76;7,4;0,48;0,24;"Até 5 mil"
3101409;"MG";"Albertina";18,08;8,92;39,94;11,27;9,62;0,47;"Até 5 mil"
5000252;"MS";"Alcinópolis";22,43;8,75;43,02;28,25;7,32;3,25;"Até 5 mil"
4300455;"RS";"Alegria";12,34;10,22;51,49;8,44;7,66;0,89;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";11,64;7,39;16,04;5,65;1,89;0,87;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";78,91;45,56;67,01;26,67;57,48;16,67;"Até 5 mil"
2400604;"RN";"Almino Afonso";45,03;31,89;33,39;25,74;20,07;12,53;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";NA;4,76;NA;16,67;NA;0,79;"Até 5 mil"
5200506;"GO";"Aloândia";17,48;7,26;22,82;9,68;3,4;0,81;"Até 5 mil"
3500907;"SP";"Altair";19,64;12,24;6,2;0,29;2,07;0;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";32,68;18,4;64,44;50,15;23,53;10,68;"Até 5 mil"
