"Codigo";"UF";"Municipio";"Pop15";"Taxa";"Pop15-24";"Taxa15-24";"Pop25-39";"Taxa25-39";"Pop40-59";"Taxa40-59";"Pop60+";"Taxa60+";"Classe"
3100401;"MG";"Acaiaca";419;13,94;16;2,45;50;5,73;119;13,43;234;39,39;"Até 5 mil"
4300034;"RS";"Aceguá";214;6,4;6;0,89;36;3,82;67;5,9;105;17,68;"Até 5 mil"
5200159;"GO";"Adelândia";287;14,65;14;3,34;33;5,89;79;12,36;161;47,21;"Até 5 mil"
3500204;"SP";"Adolfo";234;8,13;5;0,9;18;2,4;55;5,47;156;27,61;"Até 5 mil"
4200309;"SC";"Agronômica";207;5,49;5;0,58;27;2,49;68;5,44;107;18,74;"Até 5 mil"
3100708;"MG";"Água Comprida";129;7,87;6;1,71;16;3,54;46;8,63;61;20;"Até 5 mil"
5200209;"GO";"Água Limpa";163;10,13;4;1,22;18;4,1;51;9,86;90;27,61;"Até 5 mil"
2400406;"RN";"Água Nova";503;22,66;17;2,75;102;14,72;185;32,51;199;58,7;"Até 5 mil"
4300059;"RS";"Água Santa";157;5,39;9;1,43;8;1,05;57;5,59;83;16,47;"Até 5 mil"
3100807;"MG";"Aguanil";419;13,15;11;1,8;40;4,59;157;14,38;211;34,48;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";33;1,45;2;0,57;8;1,48;11;1,55;12;1,78;"Até 5 mil"
4200556;"SC";"Águas Frias";173;9,09;5;1,22;25;5,1;55;8,18;88;26,67;"Até 5 mil"
2900603;"BA";"Aiquara";816;23,76;31;3,58;119;12,54;322;32,17;344;55,66;"Até 5 mil"
3101300;"MG";"Alagoa";308;14,44;9;2,24;26;5,31;135;16,28;138;33,5;"Até 5 mil"
3500758;"SP";"Alambari";240;6,57;8;0,95;21;1,83;76;7;135;23,64;"Até 5 mil"
3101409;"MG";"Albertina";272;11,94;6;1,26;31;4,31;91;13,11;144;37,11;"Até 5 mil"
5000252;"MS";"Alcinópolis";384;11,04;11;1,3;62;5,26;167;15,52;144;37,8;"Até 5 mil"
4300455;"RS";"Alegria";356;10,13;11;2;25;3,52;99;7,3;221;24,69;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";326;10,13;8;1,33;25;3,14;62;6,01;231;29,24;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";552;32,68;21;4,54;131;26,15;185;44,58;215;69,35;"Até 5 mil"
2400604;"RN";"Almino Afonso";930;25,05;58;6,36;185;16,77;357;33,65;330;51,89;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";73;4,27;4;1,36;8;1,95;22;3,42;39;10,8;"Até 5 mil"
5200506;"GO";"Aloândia";249;14,93;9;3,16;27;5,83;69;12,73;144;38,1;"Até 5 mil"
3500907;"SP";"Altair";298;10,2;20;2,92;87;8,71;78;9,49;113;27,03;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";570;17,57;15;2,03;65;7,48;235;21,84;255;45,62;"Até 5 mil"
3501103;"SP";"Alto Alegre";290;8,56;6;0,94;36;4,19;65;6,01;183;22,65;"Até 5 mil"
4300554;"RS";"Alto Alegre";111;7,26;3;1,1;7;2,13;37;6,38;64;18,5;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";66;4,04;5;1,84;6;1,69;22;3,57;33;8,4;"Até 5 mil"
4300570;"RS";"Alto Feliz";66;2,69;4;0,91;2;0,31;13;1,55;47;8,72;"Até 5 mil"
5200555;"GO";"Alto Horizonte";419;12,39;11;1,25;66;5,54;163;17,25;179;49,18;"Até 5 mil"
4128625;"PR";"Alto Paraíso";359;14,66;10;1,9;44;6,11;137;17,41;168;40,29;"Até 5 mil"
3102209;"MG";"Alvarenga";618;18,13;16;2,17;67;7,09;218;20,39;317;48,25;"Até 5 mil"
3501202;"SP";"Álvares Florence";302;9,22;5;0,95;20;2,67;73;6,13;204;25,12;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";338;8,84;12;1,48;56;3,34;91;10,39;179;39,17;"Até 5 mil"
3501509;"SP";"Alvinlândia";239;10,52;5;1;22;3,17;75;11,01;137;34,51;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";492;20,6;35;5,56;107;15,18;189;27,16;161;44,97;"Até 5 mil"
5200829;"GO";"Amaralina";414;15,87;10;1,83;49;6,8;194;20;161;43,28;"Até 5 mil"
5200902;"GO";"Amorinópolis";522;18,12;7;1,38;54;7,38;176;16,75;285;48,22;"Até 5 mil"
2500734;"PB";"Amparo";331;21,49;11;2,77;60;12,63;128;31,84;132;49,62;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";387;23,84;27;6,09;65;12,65;157;37,65;138;55,42;"Até 5 mil"
4101051;"PR";"Anahy";263;11,82;4;0,89;27;4,45;79;10,93;153;34,38;"Até 5 mil"
3502002;"SP";"Analândia";221;6,61;13;1,8;29;2,91;76;7,5;103;16,8;"Até 5 mil"
4300661;"RS";"André da Rocha";65;6,67;3;1,76;12;5,41;20;5,31;30;14,56;"Até 5 mil"
1701051;"TO";"Angico";390;17,56;22;3,73;52;7,84;132;21,32;184;52,72;"Até 5 mil"
4101150;"PR";"Ângulo";253;11,29;4;0,82;31;4,84;85;11,66;133;34,64;"Até 5 mil"
5201207;"GO";"Anhanguera";30;3,73;1;0,68;2;0,84;7;2,56;20;13,61;"Até 5 mil"
3502408;"SP";"Anhumas";229;7,87;6;0,94;24;2,93;67;7,14;132;25,48;"Até 5 mil"
4201109;"SC";"Anitápolis";269;10,7;15;3,09;34;5,11;97;10,85;123;26,17;"Até 5 mil"
2200806;"PI";"Antônio Almeida";553;24,8;35;6;86;13,59;197;29,98;235;65,83;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";152;11,08;5;2,05;14;4,19;46;9,79;87;26,85;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";243;12,9;9;2,01;28;4,75;80;14,39;126;43,6;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";438;14,93;9;1,3;50;5,11;149;18,67;230;49,36;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";439;12,1;10;1,55;31;3,57;106;8,34;292;34,68;"Até 5 mil"
5201504;"GO";"Aporé";371;12,81;11;1,7;61;6,52;146;15,82;153;39,03;"Até 5 mil"
4201273;"SC";"Arabutã";137;4,04;3;0,51;20;2,22;32;2,88;82;10,39;"Até 5 mil"
3103207;"MG";"Araçaí";177;10,29;6;1,61;21;4,48;64;11,19;86;28,01;"Até 5 mil"
3103306;"MG";"Aracitaba";211;12,6;4;1,25;24;6,5;79;12,54;104;29,21;"Até 5 mil"
5201603;"GO";"Araçu";492;16,23;12;1,98;46;5,5;165;16,65;269;45,06;"Até 5 mil"
5101001;"MT";"Araguaiana";305;12,42;5;0,93;48;5,93;115;15,42;137;37,53;"Até 5 mil"
5101209;"MT";"Araguainha";124;14,59;1;0,64;9;3,64;39;14,08;75;44,12;"Até 5 mil"
4300851;"RS";"Arambaré";215;7,38;5;1;34;4,97;66;6,41;110;15,65;"Até 5 mil"
3103603;"MG";"Arantina";228;10,34;8;2,04;24;4,28;61;7,39;135;31,62;"Até 5 mil"
3503158;"SP";"Arapeí";147;7,67;5;1,2;17;3,39;32;4,96;93;26,35;"Até 5 mil"
3103801;"MG";"Arapuá";180;7,98;NA;NA;8;1,26;49;6,5;123;24,85;"Até 5 mil"
4101655;"PR";"Arapuã";460;16,59;12;2,06;39;5,66;142;15,67;267;44,8;"Até 5 mil"
4300877;"RS";"Araricá";183;4,93;2;0,26;22;1,9;63;5,09;96;17,65;"Até 5 mil"
3503356;"SP";"Arco-Íris";240;15,3;5;1,61;11;2,69;59;11,55;165;48,67;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";463;32,56;31;7,52;96;22,75;189;50,4;147;69,01;"Até 5 mil"
3503505;"SP";"Areias";232;8,44;9;1,42;33;4,06;68;7,94;122;27,17;"Até 5 mil"
5202353;"GO";"Arenópolis";409;15,6;5;1,07;34;4,7;115;12,6;255;49,23;"Até 5 mil"
3104403;"MG";"Argirita";244;10,47;6;1,27;24;4,11;61;8,38;153;27,97;"Até 5 mil"
3104452;"MG";"Aricanduva";723;21,37;13;1,44;108;11,04;291;29,94;311;58,9;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";294;15,14;7;1,82;27;5,35;104;16,17;156;38,14;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";698;36,64;23;5,42;138;25,18;276;49,29;261;69,97;"Até 5 mil"
2201002;"PI";"Arraial";1047;31,52;59;6,36;204;22,92;399;41,82;385;69,87;"Até 5 mil"
4301073;"RS";"Arroio do Padre";106;4,76;4;0,96;14;2,19;34;5,25;54;10,36;"Até 5 mil"
4201604;"SC";"Arroio Trinta";161;5,62;6;1,08;11;1,49;57;5,37;87;17,09;"Até 5 mil"
4201653;"SC";"Arvoredo";180;10,1;3;0,72;8;1,81;80;12,62;89;30,48;"Até 5 mil"
3503950;"SP";"Aspásia";185;12,47;3;1,02;21;5,98;49;9,3;112;35,9;"Até 5 mil"
2501351;"PB";"Assunção";669;26,26;28;4,08;159;19,8;243;37,67;239;57,87;"Até 5 mil"
4102208;"PR";"Atalaia";294;9,29;4;0,68;16;1,85;97;8,86;177;28,73;"Até 5 mil"
4201802;"SC";"Atalanta";107;4,1;3;0,52;9;1,36;37;3,97;58;13,3;"Até 5 mil"
3104809;"MG";"Augusto de Lima";536;14,47;25;2,92;98;9,34;160;14,36;253;36,93;"Até 5 mil"
4301552;"RS";"Áurea";163;5,42;5;1,01;7;0,93;50;4,75;101;14,27;"Até 5 mil"
5202601;"GO";"Aurilândia";464;15,3;7;1,16;50;6,95;153;14,94;254;36,97;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";528;20,97;13;2,4;68;8,38;198;26,87;249;58,18;"Até 5 mil"
3504305;"SP";"Avaí";298;7,86;12;1,31;37;3,44;92;7,72;157;25,78;"Até 5 mil"
5202809;"GO";"Avelinópolis";261;13,52;4;1,05;35;6,07;107;16,67;115;34,85;"Até 5 mil"
3504701;"SP";"Balbinos";207;6,04;19;2,64;70;3,8;45;7,12;73;31,06;"Até 5 mil"
5203104;"GO";"Baliza";494;17,35;11;1,84;73;9;222;21,96;188;44,03;"Até 5 mil"
3105202;"MG";"Bandeira";1162;30,6;32;3,99;150;14,71;428;35,52;552;71,69;"Até 5 mil"
4202081;"SC";"Bandeirante";204;8,92;11;2,36;20;3,86;71;8,78;102;20,73;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";378;17,6;22;4,35;97;11,96;135;23,94;124;46,44;"Até 5 mil"
1501253;"PA";"Bannach";435;18,28;23;3,96;112;13,07;178;26,06;122;47,1;"Até 5 mil"
3505005;"SP";"Barão de Antonina";222;9,42;5;1,03;20;3,25;84;10,63;113;24,25;"Até 5 mil"
2501534;"PB";"Baraúna";874;28,29;32;4,18;158;17,12;307;37,85;377;64,01;"Até 5 mil"
2401503;"RN";"Barcelona";870;29,51;44;6,15;160;20,36;303;36,51;363;58,83;"Até 5 mil"
4202099;"SC";"Barra Bonita";199;13,57;5;1,68;21;6,38;69;12,95;104;33,77;"Até 5 mil"
2201176;"PI";"Barra D'Alcântara";879;31,12;28;4,31;177;20,09;297;38,47;377;72,08;"Até 5 mil"
4301859;"RS";"Barra do Guarita";234;9,92;4;0,77;26;4,08;74;9,64;130;29,75;"Até 5 mil"
