"Codigo";"UF";"Municipio";"Total";"Unipessoa";"TotalNuclear";"CasalSFilhos";"CasalCFilhos";"HomemCFilhos";"MulherCFilhos";"Classe";"TotalFamEstendida";"EstCasalSFilhos";"EstCasalCFilhos";"EstHomemCFilhos";"EstMulherCFilhos";"EstOutros";"TotalComposta";"CompCasalSFilhos";"CompCasalCFilhos";"CompHomemCFilhos";"CompMulherCFilhos";"CompOutros"
4200051;"SC";"Abdon Batista";846;7,57;673;35,96;60,03;0,59;3,42;"Até 5 mil";102;12,75;61,76;8,82;10,78;5,88;7;28,57;14,29;NA;42,86;14,29
1700251;"TO";"Abreulândia";760;16,05;501;26,55;61,08;2,59;9,78;"Até 5 mil";112;24,11;37,5;4,46;12,5;21,43;25;28;28;4;12;28
3100401;"MG";"Acaiaca";1261;16,26;821;18,88;58,47;4,02;18,64;"Até 5 mil";210;17,14;29,05;1,9;32,38;19,52;25;16;28;4;24;28
4300034;"RS";"Aceguá";1397;14,82;930;26,24;61,08;3,33;9,35;"Até 5 mil";189;14,81;56,08;4,23;12,17;12,7;71;11,27;26,76;2,82;8,45;50,7
5200159;"GO";"Adelândia";844;12,68;596;34,06;56,04;2,01;7,89;"Até 5 mil";136;24,26;38,24;4,41;14,71;18,38;5;NA;20;NA;40;40
3500204;"SP";"Adolfo";1200;12,58;845;29,94;57,04;2,01;11,01;"Até 5 mil";200;18,5;45,5;3,5;16,5;16;4;25;NA;NA;NA;75
4200309;"SC";"Agronômica";1510;7,68;1172;24,57;66,98;1,71;6,74;"Até 5 mil";200;15;59;2;12,5;11,5;22;13,64;59,09;NA;4,55;22,73
3100708;"MG";"Água Comprida";709;19,61;457;27,57;58,42;2,84;11,16;"Até 5 mil";102;24,51;31,37;3,92;17,65;22,55;11;9,09;9,09;NA;NA;81,82
5200209;"GO";"Água Limpa";734;18,26;481;36,38;52,18;1,87;9,56;"Até 5 mil";104;22,12;38,46;4,81;16,35;18,27;15;13,33;26,67;6,67;13,33;40
2400406;"RN";"Água Nova";792;6,31;580;14,66;70;1,9;13,45;"Até 5 mil";150;9,33;45,33;4;30,67;10,67;12;8,33;50;8,33;8,33;25
4300059;"RS";"Água Santa";1165;9,27;876;27,05;66,1;1,26;5,59;"Até 5 mil";165;10,91;61,21;4,24;12,12;11,52;16;NA;31,25;NA;12,5;56,25
3100807;"MG";"Aguanil";1353;14,41;955;26,28;61,47;2,41;9,84;"Até 5 mil";188;16,49;42,55;7,98;19,68;13,3;15;NA;40;NA;20;40
3500600;"SP";"Águas de São Pedro";990;19,39;624;35,42;46,47;2,4;15,71;"Até 5 mil";146;12,33;42,47;3,42;25,34;16,44;28;14,29;10,71;3,57;21,43;50
4200556;"SC";"Águas Frias";724;6,63;532;24,25;68,98;1,88;4,89;"Até 5 mil";132;12,88;70,45;1,52;9,09;6,06;12;NA;41,67;NA;NA;58,33
