"Codigo";"UF";"Municipio";"Total";"Adequado";"Semi-Adequado";"Inadequado";"Classe"
4200051;"SC";"Abdon Batista";846;24,47;49,65;25,89;"Até 5 mil"
1700251;"TO";"Abreulândia";760;10,13;53,16;36,71;"Até 5 mil"
3100401;"MG";"Acaiaca";1261;58,92;19,51;21,57;"Até 5 mil"
4300034;"RS";"Aceguá";1397;25,34;59,06;15,6;"Até 5 mil"
5200159;"GO";"Adelândia";844;22,04;67,42;10,55;"Até 5 mil"
3500204;"SP";"Adolfo";1200;87;10,42;2,58;"Até 5 mil"
4200309;"SC";"Agronômica";1510;30,46;48,15;21,39;"Até 5 mil"
3100708;"MG";"Água Comprida";709;71,09;18,76;10,16;"Até 5 mil"
5200209;"GO";"Água Limpa";734;5,99;67,44;26,57;"Até 5 mil"
2400406;"RN";"Água Nova";792;5,81;80,43;13,76;"Até 5 mil"
4300059;"RS";"Água Santa";1165;27,12;67,3;5,58;"Até 5 mil"
3100807;"MG";"Aguanil";1353;63,86;17,22;18,92;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";990;97,88;2,12;NA;"Até 5 mil"
4200556;"SC";"Águas Frias";724;22,38;52,21;25,41;"Até 5 mil"
2900603;"BA";"Aiquara";1359;55,92;15,38;28,7;"Até 5 mil"
3101300;"MG";"Alagoa";866;44,69;33,83;21,48;"Até 5 mil"
3500758;"SP";"Alambari";1525;56,07;36,85;7,08;"Até 5 mil"
3101409;"MG";"Albertina";898;67,82;18,26;13,92;"Até 5 mil"
5000252;"MS";"Alcinópolis";1587;0,38;67,3;32,33;"Até 5 mil"
4300455;"RS";"Alegria";1491;5,23;79,07;15,69;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1348;82,12;7,57;10,31;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";673;12,78;48,59;38,63;"Até 5 mil"
2400604;"RN";"Almino Afonso";1436;6,62;69,64;23,75;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";728;11,26;72,12;16,62;"Até 5 mil"
5200506;"GO";"Aloândia";800;21,88;66,5;11,63;"Até 5 mil"
3500907;"SP";"Altair";1183;78,78;21,05;0,17;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";1380;1,74;56,88;41,38;"Até 5 mil"
3501103;"SP";"Alto Alegre";1375;78,33;7,05;14,62;"Até 5 mil"
4300554;"RS";"Alto Alegre";623;12,04;83,79;4,17;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";678;24,04;54,57;21,39;"Até 5 mil"
4300570;"RS";"Alto Feliz";999;49,65;47,25;3,1;"Até 5 mil"
5200555;"GO";"Alto Horizonte";1453;1,86;83,96;14,18;"Até 5 mil"
4128625;"PR";"Alto Paraíso";1071;8,12;64,89;26,98;"Até 5 mil"
3102209;"MG";"Alvarenga";1402;42,94;15,26;41,8;"Até 5 mil"
3501202;"SP";"Álvares Florence";1428;67,72;17,23;15,06;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";1012;89,92;4,94;5,14;"Até 5 mil"
3501509;"SP";"Alvinlândia";910;89,45;6,7;3,85;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";966;25,16;28,78;46,07;"Até 5 mil"
5200829;"GO";"Amaralina";1091;23,1;26,21;50,69;"Até 5 mil"
5200902;"GO";"Amorinópolis";1286;7,93;68,12;23,95;"Até 5 mil"
2500734;"PB";"Amparo";636;10,38;43,55;46,07;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";682;18,04;66,86;15,1;"Até 5 mil"
4101051;"PR";"Anahy";938;27,93;50,11;21,96;"Até 5 mil"
3502002;"SP";"Analândia";1374;75,84;10,92;13,25;"Até 5 mil"
4300661;"RS";"André da Rocha";425;32,94;61,18;5,88;"Até 5 mil"
1701051;"TO";"Angico";842;0,83;76,01;23,16;"Até 5 mil"
4101150;"PR";"Ângulo";924;1,19;89,94;8,87;"Até 5 mil"
5201207;"GO";"Anhanguera";350;10;84,57;5,43;"Até 5 mil"
3502408;"SP";"Anhumas";1154;82,15;5,72;12,13;"Até 5 mil"
