"Codigo";"UF";"Municipio";"ValMedio";"Q2";"Mediana";"Q3";"Classe"
4200051;"SC";"Abdon Batista";450;175;344;560;"Até 5 mil"
1700251;"TO";"Abreulândia";436;109;200;358;"Até 5 mil"
3100401;"MG";"Acaiaca";324;128;238;405;"Até 5 mil"
4300034;"RS";"Aceguá";693;186;340;600;"Até 5 mil"
5200159;"GO";"Adelândia";464;200;340;510;"Até 5 mil"
3500204;"SP";"Adolfo";603;315;500;700;"Até 5 mil"
4200309;"SC";"Agronômica";825;340;540;900;"Até 5 mil"
3100708;"MG";"Água Comprida";621;255;445;730;"Até 5 mil"
5200209;"GO";"Água Limpa";597;250;363;600;"Até 5 mil"
2400406;"RN";"Água Nova";221;86;170;302;"Até 5 mil"
4300059;"RS";"Água Santa";997;300;510;800;"Até 5 mil"
3100807;"MG";"Aguanil";460;204;340;510;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";1374;500;816;1437;"Até 5 mil"
4200556;"SC";"Águas Frias";635;327;510;770;"Até 5 mil"
2900603;"BA";"Aiquara";262;103;183;312;"Até 5 mil"
3101300;"MG";"Alagoa";378;150;267;510;"Até 5 mil"
3500758;"SP";"Alambari";517;249;380;596;"Até 5 mil"
3101409;"MG";"Albertina";530;278;438;610;"Até 5 mil"
5000252;"MS";"Alcinópolis";665;250;400;660;"Até 5 mil"
4300455;"RS";"Alegria";670;200;382;620;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";579;267;500;680;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";200;71;143;255;"Até 5 mil"
2400604;"RN";"Almino Afonso";271;97;182;340;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";654;300;503;755;"Até 5 mil"
5200506;"GO";"Aloândia";558;250;407;600;"Até 5 mil"
3500907;"SP";"Altair";522;265;400;614;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";398;145;255;467;"Até 5 mil"
3501103;"SP";"Alto Alegre";537;278;451;620;"Até 5 mil"
4300554;"RS";"Alto Alegre";727;300;510;870;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";673;313;510;819;"Até 5 mil"
4300570;"RS";"Alto Feliz";686;453;596;825;"Até 5 mil"
5200555;"GO";"Alto Horizonte";588;231;385;672;"Até 5 mil"
4128625;"PR";"Alto Paraíso";547;217;333;510;"Até 5 mil"
3102209;"MG";"Alvarenga";292;103;193;370;"Até 5 mil"
3501202;"SP";"Álvares Florence";553;260;462;617;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";477;220;368;538;"Até 5 mil"
3501509;"SP";"Alvinlândia";504;238;361;565;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";271;80;144;306;"Até 5 mil"
5200829;"GO";"Amaralina";299;125;200;351;"Até 5 mil"
5200902;"GO";"Amorinópolis";543;238;383;575;"Até 5 mil"
2500734;"PB";"Amparo";223;83;156;270;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";271;89;170;310;"Até 5 mil"
4101051;"PR";"Anahy";462;225;346;510;"Até 5 mil"
3502002;"SP";"Analândia";691;267;463;720;"Até 5 mil"
4300661;"RS";"André da Rocha";709;315;510;784;"Até 5 mil"
1701051;"TO";"Angico";272;110;196;340;"Até 5 mil"
4101150;"PR";"Ângulo";566;267;432;655;"Até 5 mil"
5201207;"GO";"Anhanguera";663;300;488;719;"Até 5 mil"
3502408;"SP";"Anhumas";492;240;380;600;"Até 5 mil"
4201109;"SC";"Anitápolis";517;233;400;610;"Até 5 mil"
2200806;"PI";"Antônio Almeida";307;92;204;360;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";497;194;355;540;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";557;251;383;625;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";316;128;216;383;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";528;250;400;593;"Até 5 mil"
5201504;"GO";"Aporé";575;255;400;637;"Até 5 mil"
4201273;"SC";"Arabutã";748;359;514;850;"Até 5 mil"
3103207;"MG";"Araçaí";420;190;328;510;"Até 5 mil"
3103306;"MG";"Aracitaba";336;143;255;500;"Até 5 mil"
