"Codigo","UF","Municipio","Branca","Preta","Parda","Amarela","Indígena","Classe"
4200051,"SC","Abdon Batista",839,"474",404,NA,NA,"Até 5 mil"
1700251,"TO","Abreulândia",811,"3163",641,"540","638","Até 5 mil"
3100401,"MG","Acaiaca",828,"579",575,"537","353","Até 5 mil"
4300034,"RS","Aceguá",1397,"533",675,"701","510","Até 5 mil"
5200159,"GO","Adelândia",877,"550",649,"863","1833","Até 5 mil"
3500204,"SP","Adolfo",1006,"823",808,"1253","1000","Até 5 mil"
4200309,"SC","Agronômica",1257,"759",956,"1139",NA,"Até 5 mil"
3100708,"MG","Água Comprida",1029,"899",857,"837",NA,"Até 5 mil"
5200209,"GO","Água Limpa",1020,"678",917,"955","380","Até 5 mil"
2400406,"RN","Água Nova",555,"404",463,NA,NA,"Até 5 mil"
4300059,"RS","Água Santa",1720,"752",735,"1507","533","Até 5 mil"
3100807,"MG","Aguanil",792,"556",672,"1002","406","Até 5 mil"
3500600,"SP","Águas de São Pedro",2171,"810",1020,"3210",NA,"Até 5 mil"
4200556,"SC","Águas Frias",1036,"762",759,"762","413","Até 5 mil"
2900603,"BA","Aiquara",618,"430",505,"528",NA,"Até 5 mil"
3101300,"MG","Alagoa",700,"512",568,"730",NA,"Até 5 mil"
3500758,"SP","Alambari",966,"755",756,"2451",NA,"Até 5 mil"
3101409,"MG","Albertina",829,"662",670,"1210",NA,"Até 5 mil"
5000252,"MS","Alcinópolis",1441,"711",837,"811","400","Até 5 mil"
4300455,"RS","Alegria",1109,"464",572,"558",NA,"Até 5 mil"
3500808,"SP","Alfredo Marcondes",977,"785",747,"883","510","Até 5 mil"
2500577,"PB","Algodão de Jandaíra",460,"408",400,"433",NA,"Até 5 mil"
2400604,"RN","Almino Afonso",594,"518",473,"335",NA,"Até 5 mil"
4300471,"RS","Almirante Tamandaré do Sul",1007,"581",686,"510",NA,"Até 5 mil"
5200506,"GO","Aloândia",933,"582",797,"764","600","Até 5 mil"
3500907,"SP","Altair",1003,"777",796,"1054","900","Até 5 mil"
4100459,"PR","Altamira do Paraná",785,"851",571,"1292","696","Até 5 mil"
3501103,"SP","Alto Alegre",860,"703",705,"968","300","Até 5 mil"
4300554,"RS","Alto Alegre",1199,"655",750,"577","400","Até 5 mil"
4200754,"SC","Alto Bela Vista",909,"1057",1209,"1707",NA,"Até 5 mil"
4300570,"RS","Alto Feliz",916,"687",799,"1380","1207","Até 5 mil"
5200555,"GO","Alto Horizonte",1066,"806",989,"1026","491","Até 5 mil"
4128625,"PR","Alto Paraíso",1333,"723",640,"987","510","Até 5 mil"
3102209,"MG","Alvarenga",607,"573",535,"462","405","Até 5 mil"
3501202,"SP","Álvares Florence",909,"707",674,"563",NA,"Até 5 mil"
3501400,"SP","Álvaro de Carvalho",938,"593",708,"800",NA,"Até 5 mil"
3501509,"SP","Alvinlândia",951,"665",650,"617",NA,"Até 5 mil"
3102407,"MG","Alvorada de Minas",953,"484",579,"381","1531","Até 5 mil"
5200829,"GO","Amaralina",664,"595",607,"420",NA,"Até 5 mil"
5200902,"GO","Amorinópolis",1056,"655",754,"679",NA,"Até 5 mil"
2500734,"PB","Amparo",488,"437",433,"450","510","Até 5 mil"
2800100,"SE","Amparo de São Francisco",625,"498",509,"404",NA,"Até 5 mil"
4101051,"PR","Anahy",776,"559",623,"696",NA,"Até 5 mil"
3502002,"SP","Analândia",1247,"741",991,"1730","523","Até 5 mil"
4300661,"RS","André da Rocha",1150,"476",609,"695","578","Até 5 mil"
1701051,"TO","Angico",590,"575",518,"456",NA,"Até 5 mil"
4101150,"PR","Ângulo",1031,"688",730,"1197",NA,"Até 5 mil"
5201207,"GO","Anhanguera",1115,"811",831,"1138","590","Até 5 mil"
3502408,"SP","Anhumas",974,"662",664,"849","540","Até 5 mil"
4201109,"SC","Anitápolis",788,"769",743,"1200",NA,"Até 5 mil"
2200806,"PI","Antônio Almeida",888,"515",636,"534",NA,"Até 5 mil"
3103108,"MG","Antônio Prado de Minas",901,"500",612,"580",NA,"Até 5 mil"
5201454,"GO","Aparecida do Rio Doce",1163,"720",863,"886",NA,"Até 5 mil"
1701101,"TO","Aparecida do Rio Negro",754,"463",596,"802","510","Até 5 mil"
3502606,"SP","Aparecida d'Oeste",900,"649",671,"3771","700","Até 5 mil"
5201504,"GO","Aporé",1183,"860",817,"1666",NA,"Até 5 mil"
4201273,"SC","Arabutã",1058,"760",903,"1778",NA,"Até 5 mil"
3103207,"MG","Araçaí",931,"657",660,"403","590","Até 5 mil"
3103306,"MG","Aracitaba",668,"525",516,"456",NA,"Até 5 mil"
5201603,"GO","Araçu",893,"804",657,"617","510","Até 5 mil"
5101001,"MT","Araguaiana",1591,"679",811,"955","1455","Até 5 mil"
5101209,"MT","Araguainha",1071,"467",753,"151",NA,"Até 5 mil"
4300851,"RS","Arambaré",985,"571",764,"640","510","Até 5 mil"
3103603,"MG","Arantina",725,"463",564,"510",NA,"Até 5 mil"
3503158,"SP","Arapeí",734,"556",708,"1200",NA,"Até 5 mil"
3103801,"MG","Arapuá",1001,"691",796,"867","530","Até 5 mil"
4101655,"PR","Arapuã",802,"525",503,"2507",NA,"Até 5 mil"
4300877,"RS","Araricá",877,"716",739,"830","2000","Até 5 mil"
3503356,"SP","Arco-Íris",787,"641",630,"2229","560","Até 5 mil"
2501153,"PB","Areia de Baraúnas",556,"382",454,"536",NA,"Até 5 mil"
3503505,"SP","Areias",864,"500",589,"1057",NA,"Até 5 mil"
5202353,"GO","Arenópolis",910,"711",704,"700","487","Até 5 mil"
3104403,"MG","Argirita",855,"522",562,"506","1110","Até 5 mil"
3104452,"MG","Aricanduva",565,"485",440,"562",NA,"Até 5 mil"
4101853,"PR","Ariranha do Ivaí",714,"545",510,"380","330","Até 5 mil"
2200954,"PI","Aroeiras do Itaim",449,"362",439,"318",NA,"Até 5 mil"
2201002,"PI","Arraial",539,"457",490,"524",NA,"Até 5 mil"
4301073,"RS","Arroio do Padre",1253,"714",476,"379",NA,"Até 5 mil"
4201604,"SC","Arroio Trinta",1558,"869",692,"277","510","Até 5 mil"
4201653,"SC","Arvoredo",942,"619",641,"692","422","Até 5 mil"
3503950,"SP","Aspásia",935,"631",660,"864",NA,"Até 5 mil"
2501351,"PB","Assunção",540,"448",495,"598","396","Até 5 mil"
