"Codigo","UF","Municipio","Total","Ate70Reais","Ate1/4","Ate1/2","Ate225reais","Classe"
4200051,"SC","Abdon Batista","710","11.27","27.75","54.789999999999999","48.869999999999997","Até 5 mil"
1700251,"TO","Abreulândia","708","23.309999999999999","39.119999999999997","73.159999999999997","61.859999999999999","Até 5 mil"
3100401,"MG","Acaiaca","805","7.9500000000000002","26.829999999999998","59.25","48.700000000000003","Até 5 mil"
4300034,"RS","Aceguá","664","9.9399999999999995","20.329999999999998","48.490000000000002","42.32","Até 5 mil"
5200159,"GO","Adelândia","237","2.5299999999999998","13.08","43.880000000000003","32.909999999999997","Até 5 mil"
3500204,"SP","Adolfo","92",NA,"9.7799999999999994","26.09","17.390000000000001","Até 5 mil"
4200309,"SC","Agronômica","1043",NA,"3.7400000000000002","20.52","15.34","Até 5 mil"
3100708,"MG","Água Comprida","200","2.5","5.5","30.5","23","Até 5 mil"
5200209,"GO","Água Limpa","545","0.17999999999999999","3.8500000000000001","28.260000000000002","16.510000000000002","Até 5 mil"
2400406,"RN","Água Nova","404","40.590000000000003","61.880000000000003","80.939999999999998","75.739999999999995","Até 5 mil"
4300059,"RS","Água Santa","199",NA,"8.0399999999999991","29.149999999999999","22.109999999999999","Até 5 mil"
3100807,"MG","Aguanil","709","0.41999999999999998","14.529999999999999","55.57","41.329999999999998","Até 5 mil"
3500600,"SP","Águas de São Pedro",NA,NA,NA,NA,NA,"Até 5 mil"
4200556,"SC","Águas Frias","596","1.3400000000000001","5.8700000000000001","28.690000000000001","22.32","Até 5 mil"
2900603,"BA","Aiquara","1193","12.41","39.310000000000002","75.689999999999998","69.069999999999993","Até 5 mil"
3101300,"MG","Alagoa","520","11.73","29.039999999999999","60.579999999999998","52.310000000000002","Até 5 mil"
3500758,"SP","Alambari","337","9.5","16.620000000000001","51.340000000000003","39.170000000000002","Até 5 mil"
3101409,"MG","Albertina","421",NA,"5.2300000000000004","27.789999999999999","16.629999999999999","Até 5 mil"
5000252,"MS","Alcinópolis","1392","0.14000000000000001","2.0800000000000001","27.300000000000001","17.309999999999999","Até 5 mil"
4300455,"RS","Alegria","626","3.9900000000000002","14.06","36.740000000000002","28.91","Até 5 mil"
3500808,"SP","Alfredo Marcondes","395","1.01","4.0499999999999998","23.800000000000001","17.969999999999999","Até 5 mil"
2500577,"PB","Algodão de Jandaíra","879","25.48","45.619999999999997","76.450000000000003","68.150000000000006","Até 5 mil"
2400604,"RN","Almino Afonso","1131","29.530000000000001","45.979999999999997","73.120000000000005","65.870000000000005","Até 5 mil"
4300471,"RS","Almirante Tamandaré do Sul","357","1.3999999999999999","5.5999999999999996","23.530000000000001","16.809999999999999","Até 5 mil"
5200506,"GO","Aloândia","251",NA,"4.7800000000000002","22.309999999999999","17.129999999999999","Até 5 mil"
3500907,"SP","Altair","5",NA,NA,NA,"0","Até 5 mil"
4100459,"PR","Altamira do Paraná","1825","9.3699999999999992","27.949999999999999","68.219999999999999","59.670000000000002","Até 5 mil"
3501103,"SP","Alto Alegre","616","1.1399999999999999","6.6600000000000001","27.109999999999999","20.129999999999999","Até 5 mil"
4300554,"RS","Alto Alegre","77","9.0899999999999999","14.289999999999999","27.27","22.079999999999998","Até 5 mil"
4200754,"SC","Alto Bela Vista","425","0.70999999999999996","7.5300000000000002","28.239999999999998","22.350000000000001","Até 5 mil"
4300570,"RS","Alto Feliz","83","3.6099999999999999","7.2300000000000004","20.48","7.2300000000000004","Até 5 mil"
5200555,"GO","Alto Horizonte","614","0.33000000000000002","11.24","44.460000000000001","35.340000000000003","Até 5 mil"
4128625,"PR","Alto Paraíso","841","0.47999999999999998","4.1600000000000001","30.68","16.879999999999999","Até 5 mil"
3102209,"MG","Alvarenga","1746","22.620000000000001","42.5","72.849999999999994","66.549999999999997","Até 5 mil"
3501202,"SP","Álvares Florence","581","0.85999999999999999","3.1000000000000001","29.780000000000001","15.66","Até 5 mil"
3501400,"SP","Álvaro de Carvalho","181","3.3100000000000001","17.129999999999999","49.170000000000002","34.25","Até 5 mil"
3501509,"SP","Alvinlândia","129",NA,"10.08","42.640000000000001","40.310000000000002","Até 5 mil"
3102407,"MG","Alvorada de Minas","1611","25.390000000000001","56.359999999999999","78.900000000000006","73.930000000000007","Até 5 mil"
5200829,"GO","Amaralina","1580","8.8599999999999994","33.609999999999999","69.489999999999995","62.530000000000001","Até 5 mil"
5200902,"GO","Amorinópolis","896","1.8999999999999999","7.25","26.34","18.75","Até 5 mil"
2500734,"PB","Amparo","959","29.199999999999999","50.359999999999999","75.810000000000002","70.489999999999995","Até 5 mil"
2800100,"SE","Amparo de São Francisco","345","36.810000000000002","58.259999999999998","84.060000000000002","79.420000000000002","Até 5 mil"
4101051,"PR","Anahy","606",NA,"14.19","42.740000000000002","35.149999999999999","Até 5 mil"
3502002,"SP","Analândia","597",NA,"11.890000000000001","38.689999999999998","29.98","Até 5 mil"
