"Codigo";"UF";"Municipio";"MediaHomens";"MediaMulheres";"MedianaHomens";"MedianaMulheres";"mediaH/M";"medianaH/M";"Classe"
4200051;"SC";"Abdon Batista";880;609;510;510;1,45;1;"Até 5 mil"
1700251;"TO";"Abreulândia";1192;513;510;510;2,32;1;"Até 5 mil"
3100401;"MG";"Acaiaca";675;570;510;510;1,18;1;"Até 5 mil"
4300034;"RS";"Aceguá";1386;1009;600;510;1,37;1,18;"Até 5 mil"
5200159;"GO";"Adelândia";862;579;510;510;1,49;1;"Até 5 mil"
3500204;"SP";"Adolfo";1165;717;850;564;1,62;1,51;"Até 5 mil"
4200309;"SC";"Agronômica";1380;1073;978;700;1,29;1,4;"Até 5 mil"
3100708;"MG";"Água Comprida";1103;766;770;510;1,44;1,51;"Até 5 mil"
5200209;"GO";"Água Limpa";1123;729;618;510;1,54;1,21;"Até 5 mil"
2400406;"RN";"Água Nova";581;449;510;510;1,29;1;"Até 5 mil"
4300059;"RS";"Água Santa";1934;1087;800;510;1,78;1,57;"Até 5 mil"
3100807;"MG";"Aguanil";805;662;510;510;1,22;1;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";2442;1667;1500;1000;1,46;1,5;"Até 5 mil"
4200556;"SC";"Águas Frias";1125;790;800;510;1,42;1,57;"Até 5 mil"
2900603;"BA";"Aiquara";576;425;510;504;1,35;1,01;"Até 5 mil"
3101300;"MG";"Alagoa";715;581;510;510;1,23;1;"Até 5 mil"
3500758;"SP";"Alambari";1061;689;756;510;1,54;1,48;"Até 5 mil"
3101409;"MG";"Albertina";895;667;650;510;1,34;1,27;"Até 5 mil"
5000252;"MS";"Alcinópolis";1279;853;800;510;1,5;1,57;"Até 5 mil"
4300455;"RS";"Alegria";1277;733;510;510;1,74;1;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1040;744;750;510;1,4;1,47;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";475;378;510;480;1,26;1,06;"Até 5 mil"
2400604;"RN";"Almino Afonso";586;474;510;510;1,24;1;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";1149;776;785;510;1,48;1,54;"Até 5 mil"
5200506;"GO";"Aloândia";998;653;600;510;1,53;1,18;"Até 5 mil"
3500907;"SP";"Altair";1044;665;800;510;1,57;1,57;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";774;585;510;510;1,32;1;"Até 5 mil"
3501103;"SP";"Alto Alegre";906;700;700;510;1,29;1,37;"Até 5 mil"
4300554;"RS";"Alto Alegre";1426;786;800;510;1,81;1,57;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";989;851;700;554;1,16;1,26;"Até 5 mil"
4300570;"RS";"Alto Feliz";1020;790;850;650;1,29;1,31;"Até 5 mil"
5200555;"GO";"Alto Horizonte";1202;711;700;510;1,69;1,37;"Até 5 mil"
4128625;"PR";"Alto Paraíso";1200;592;600;510;2,03;1,18;"Até 5 mil"
3102209;"MG";"Alvarenga";630;491;510;510;1,28;1;"Até 5 mil"
3501202;"SP";"Álvares Florence";999;634;700;510;1,58;1,37;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";906;676;600;510;1,34;1,18;"Até 5 mil"
3501509;"SP";"Alvinlândia";947;692;600;510;1,37;1,18;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";637;580;510;510;1,1;1;"Até 5 mil"
5200829;"GO";"Amaralina";672;527;510;510;1,27;1;"Até 5 mil"
5200902;"GO";"Amorinópolis";1102;612;600;510;1,8;1,18;"Até 5 mil"
2500734;"PB";"Amparo";510;408;510;510;1,25;1;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";602;465;510;510;1,29;1;"Até 5 mil"
4101051;"PR";"Anahy";768;640;510;510;1,2;1;"Até 5 mil"
3502002;"SP";"Analândia";1319;932;800;570;1,42;1,4;"Até 5 mil"
4300661;"RS";"André da Rocha";1163;921;800;600;1,26;1,33;"Até 5 mil"
1701051;"TO";"Angico";624;448;510;503;1,39;1,01;"Até 5 mil"
4101150;"PR";"Ângulo";1105;673;750;510;1,64;1,47;"Até 5 mil"
5201207;"GO";"Anhanguera";1089;808;700;510;1,35;1,37;"Até 5 mil"
3502408;"SP";"Anhumas";939;734;780;510;1,28;1,53;"Até 5 mil"
4201109;"SC";"Anitápolis";801;768;510;510;1,04;1;"Até 5 mil"
2200806;"PI";"Antônio Almeida";742;534;510;510;1,39;1;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";873;608;510;510;1,44;1;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";1173;696;800;510;1,69;1,57;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";684;525;510;510;1,3;1;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";983;697;700;510;1,41;1,37;"Até 5 mil"
5201504;"GO";"Aporé";1162;679;900;510;1,71;1,76;"Até 5 mil"
4201273;"SC";"Arabutã";1175;904;714;600;1,3;1,19;"Até 5 mil"
3103207;"MG";"Araçaí";842;597;510;510;1,41;1;"Até 5 mil"
3103306;"MG";"Aracitaba";656;523;510;510;1,25;1;"Até 5 mil"
5201603;"GO";"Araçu";871;619;510;510;1,41;1;"Até 5 mil"
5101001;"MT";"Araguaiana";1228;672;700;510;1,83;1,37;"Até 5 mil"
5101209;"MT";"Araguainha";1008;701;520;510;1,44;1,02;"Até 5 mil"
4300851;"RS";"Arambaré";1040;787;650;510;1,32;1,27;"Até 5 mil"
3103603;"MG";"Arantina";760;589;510;510;1,29;1;"Até 5 mil"
3503158;"SP";"Arapeí";828;557;600;510;1,49;1,18;"Até 5 mil"
3103801;"MG";"Arapuá";1173;679;650;510;1,73;1,27;"Até 5 mil"
4101655;"PR";"Arapuã";812;590;510;510;1,38;1;"Até 5 mil"
4300877;"RS";"Araricá";985;714;700;600;1,38;1,17;"Até 5 mil"
3503356;"SP";"Arco-Íris";822;616;600;510;1,33;1,18;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";576;409;510;510;1,41;1;"Até 5 mil"
3503505;"SP";"Areias";810;618;510;510;1,31;1;"Até 5 mil"
5202353;"GO";"Arenópolis";962;549;510;510;1,75;1;"Até 5 mil"
3104403;"MG";"Argirita";772;605;510;510;1,28;1;"Até 5 mil"
3104452;"MG";"Aricanduva";527;438;500;498;1,2;1;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";693;527;510;510;1,31;1;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";526;355;510;400;1,48;1,28;"Até 5 mil"
2201002;"PI";"Arraial";574;436;510;493;1,32;1,04;"Até 5 mil"
4301073;"RS";"Arroio do Padre";1586;717;700;510;2,21;1,37;"Até 5 mil"
4201604;"SC";"Arroio Trinta";2036;855;870;510;2,38;1,71;"Até 5 mil"
4201653;"SC";"Arvoredo";1000;788;710;600;1,27;1,18;"Até 5 mil"
3503950;"SP";"Aspásia";1032;597;700;510;1,73;1,37;"Até 5 mil"
2501351;"PB";"Assunção";573;442;510;510;1,3;1;"Até 5 mil"
4102208;"PR";"Atalaia";1053;758;750;510;1,39;1,47;"Até 5 mil"
4201802;"SC";"Atalanta";1025;857;750;600;1,2;1,25;"Até 5 mil"
3104809;"MG";"Augusto de Lima";738;525;510;510;1,41;1;"Até 5 mil"
4301552;"RS";"Áurea";916;729;600;510;1,26;1,18;"Até 5 mil"
5202601;"GO";"Aurilândia";851;622;510;510;1,37;1;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";1038;607;510;510;1,71;1;"Até 5 mil"
3504305;"SP";"Avaí";1077;721;700;510;1,49;1,37;"Até 5 mil"
5202809;"GO";"Avelinópolis";1020;635;510;510;1,61;1;"Até 5 mil"
