"Codigo";"UF";"Municipio";"Total";"Taxa";"Classe"
4200051;"SC";"Abdon Batista";NA;NA;"Até 5 mil"
1700251;"TO";"Abreulândia";5;10,42;"Até 5 mil"
3100401;"MG";"Acaiaca";NA;NA;"Até 5 mil"
4300034;"RS";"Aceguá";3;3,66;"Até 5 mil"
5200159;"GO";"Adelândia";3;7,69;"Até 5 mil"
3500204;"SP";"Adolfo";1;1,56;"Até 5 mil"
4200309;"SC";"Agronômica";3;3;"Até 5 mil"
3100708;"MG";"Água Comprida";1;3,03;"Até 5 mil"
5200209;"GO";"Água Limpa";1;2,44;"Até 5 mil"
2400406;"RN";"Água Nova";5;7,81;"Até 5 mil"
4300059;"RS";"Água Santa";NA;NA;"Até 5 mil"
3100807;"MG";"Aguanil";NA;NA;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";3;10;"Até 5 mil"
4200556;"SC";"Águas Frias";NA;NA;"Até 5 mil"
2900603;"BA";"Aiquara";11;13,92;"Até 5 mil"
3101300;"MG";"Alagoa";2;3,92;"Até 5 mil"
3500758;"SP";"Alambari";1;1,11;"Até 5 mil"
3101409;"MG";"Albertina";2;5,26;"Até 5 mil"
5000252;"MS";"Alcinópolis";1;1,59;"Até 5 mil"
4300455;"RS";"Alegria";4;7,55;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1;1,96;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";6;12,24;"Até 5 mil"
2400604;"RN";"Almino Afonso";12;13,79;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";NA;NA;"Até 5 mil"
5200506;"GO";"Aloândia";2;6,67;"Até 5 mil"
3500907;"SP";"Altair";2;3,64;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";2;2,5;"Até 5 mil"
3501103;"SP";"Alto Alegre";1;2;"Até 5 mil"
4300554;"RS";"Alto Alegre";1;4,55;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";NA;NA;"Até 5 mil"
4300570;"RS";"Alto Feliz";NA;NA;"Até 5 mil"
5200555;"GO";"Alto Horizonte";4;5,63;"Até 5 mil"
4128625;"PR";"Alto Paraíso";NA;NA;"Até 5 mil"
3102209;"MG";"Alvarenga";NA;NA;"Até 5 mil"
3501202;"SP";"Álvares Florence";NA;NA;"Até 5 mil"
3501400;"SP";"Álvaro de Carvalho";3;6,38;"Até 5 mil"
3501509;"SP";"Alvinlândia";2;2,9;"Até 5 mil"
3102407;"MG";"Alvorada de Minas";4;4,94;"Até 5 mil"
5200829;"GO";"Amaralina";4;7,14;"Até 5 mil"
5200902;"GO";"Amorinópolis";2;3,51;"Até 5 mil"
2500734;"PB";"Amparo";2;6,25;"Até 5 mil"
2800100;"SE";"Amparo de São Francisco";3;8,11;"Até 5 mil"
4101051;"PR";"Anahy";1;1,92;"Até 5 mil"
3502002;"SP";"Analândia";NA;NA;"Até 5 mil"
4300661;"RS";"André da Rocha";NA;NA;"Até 5 mil"
1701051;"TO";"Angico";6;7,69;"Até 5 mil"
4101150;"PR";"Ângulo";1;2,13;"Até 5 mil"
5201207;"GO";"Anhanguera";NA;NA;"Até 5 mil"
3502408;"SP";"Anhumas";3;4,84;"Até 5 mil"
4201109;"SC";"Anitápolis";3;5,56;"Até 5 mil"
2200806;"PI";"Antônio Almeida";5;9,8;"Até 5 mil"
3103108;"MG";"Antônio Prado de Minas";NA;NA;"Até 5 mil"
5201454;"GO";"Aparecida do Rio Doce";NA;NA;"Até 5 mil"
1701101;"TO";"Aparecida do Rio Negro";4;4,71;"Até 5 mil"
3502606;"SP";"Aparecida d'Oeste";NA;NA;"Até 5 mil"
5201504;"GO";"Aporé";NA;NA;"Até 5 mil"
4201273;"SC";"Arabutã";NA;NA;"Até 5 mil"
3103207;"MG";"Araçaí";2;5,26;"Até 5 mil"
3103306;"MG";"Aracitaba";NA;NA;"Até 5 mil"
5201603;"GO";"Araçu";NA;NA;"Até 5 mil"
5101001;"MT";"Araguaiana";NA;NA;"Até 5 mil"
5101209;"MT";"Araguainha";1;5,26;"Até 5 mil"
4300851;"RS";"Arambaré";2;2,6;"Até 5 mil"
3103603;"MG";"Arantina";1;2,13;"Até 5 mil"
3503158;"SP";"Arapeí";2;4,35;"Até 5 mil"
3103801;"MG";"Arapuá";1;2,44;"Até 5 mil"
4101655;"PR";"Arapuã";NA;NA;"Até 5 mil"
4300877;"RS";"Araricá";1;1,01;"Até 5 mil"
3503356;"SP";"Arco-Íris";1;2,63;"Até 5 mil"
2501153;"PB";"Areia de Baraúnas";5;20;"Até 5 mil"
3503505;"SP";"Areias";2;2,04;"Até 5 mil"
5202353;"GO";"Arenópolis";NA;NA;"Até 5 mil"
3104403;"MG";"Argirita";1;2,33;"Até 5 mil"
3104452;"MG";"Aricanduva";3;2,34;"Até 5 mil"
4101853;"PR";"Ariranha do Ivaí";2;5,71;"Até 5 mil"
2200954;"PI";"Aroeiras do Itaim";8;19,51;"Até 5 mil"
2201002;"PI";"Arraial";22;18,49;"Até 5 mil"
4301073;"RS";"Arroio do Padre";2;4,76;"Até 5 mil"
4201604;"SC";"Arroio Trinta";NA;NA;"Até 5 mil"
4201653;"SC";"Arvoredo";NA;NA;"Até 5 mil"
3503950;"SP";"Aspásia";NA;NA;"Até 5 mil"
2501351;"PB";"Assunção";4;5,33;"Até 5 mil"
4102208;"PR";"Atalaia";NA;NA;"Até 5 mil"
4201802;"SC";"Atalanta";NA;NA;"Até 5 mil"
3104809;"MG";"Augusto de Lima";9;10,84;"Até 5 mil"
4301552;"RS";"Áurea";1;1,89;"Até 5 mil"
5202601;"GO";"Aurilândia";1;3,03;"Até 5 mil"
1702703;"TO";"Aurora do Tocantins";2;2,9;"Até 5 mil"
3504305;"SP";"Avaí";2;2,67;"Até 5 mil"
5202809;"GO";"Avelinópolis";NA;NA;"Até 5 mil"
3504701;"SP";"Balbinos";1;5;"Até 5 mil"
5203104;"GO";"Baliza";2;2,63;"Até 5 mil"
3105202;"MG";"Bandeira";7;6,54;"Até 5 mil"
4202081;"SC";"Bandeirante";NA;NA;"Até 5 mil"
1703057;"TO";"Bandeirantes do Tocantins";8;10,81;"Até 5 mil"
1501253;"PA";"Bannach";7;8,64;"Até 5 mil"
