"Codigo";"UF";"Municipio";"Total";"1Resp";"MaisResp";"TotalMasc";"1RespMasc";"MaisRespMasc";"TotalFem";"1RespFem";"MaisRespFem";"Classe"
4200051;"SC";"Abdon Batista";846;79,67;20,33;746;78,82;21,18;100;86;14;"Até 5 mil"
1700251;"TO";"Abreulândia";760;74,08;25,92;500;74,8;25,2;260;72,69;27,31;"Até 5 mil"
3100401;"MG";"Acaiaca";1261;65,19;34,81;808;59,41;40,59;453;75,5;24,5;"Até 5 mil"
4300034;"RS";"Aceguá";1397;76,16;23,84;1118;76,3;23,7;279;75,63;24,37;"Até 5 mil"
5200159;"GO";"Adelândia";844;56,16;43,84;533;57,97;42,03;311;53,05;46,95;"Até 5 mil"
3500204;"SP";"Adolfo";1200;56,58;43,42;801;54,43;45,57;399;60,9;39,1;"Até 5 mil"
4200309;"SC";"Agronômica";1510;68,21;31,79;937;68,09;31,91;573;68,41;31,59;"Até 5 mil"
3100708;"MG";"Água Comprida";709;67,98;31,73;541;68,58;31,24;168;66,07;33,33;"Até 5 mil"
5200209;"GO";"Água Limpa";734;83,65;16,35;568;85,56;14,44;166;77,11;22,89;"Até 5 mil"
2400406;"RN";"Água Nova";792;71,09;28,66;548;67,88;31,93;244;78,28;21,31;"Até 5 mil"
4300059;"RS";"Água Santa";1165;73,22;26,78;1006;71,07;28,93;159;86,79;13,21;"Até 5 mil"
3100807;"MG";"Aguanil";1353;84,33;15,67;1048;85,31;14,69;305;80,98;19,02;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";990;69,29;30,71;638;62,23;37,77;352;82,1;17,9;"Até 5 mil"
4200556;"SC";"Águas Frias";724;52,76;47,24;554;53,25;46,75;170;51,18;48,82;"Até 5 mil"
2900603;"BA";"Aiquara";1359;82,86;17,07;918;82,68;17,21;441;83,22;16,78;"Até 5 mil"
3101300;"MG";"Alagoa";866;85,45;14,43;586;84,47;15,53;280;87,5;12,14;"Até 5 mil"
3500758;"SP";"Alambari";1525;71,41;28,59;1146;71,64;28,36;379;70,71;29,29;"Até 5 mil"
3101409;"MG";"Albertina";898;56,46;43,54;627;52,15;47,85;271;66,42;33,58;"Até 5 mil"
5000252;"MS";"Alcinópolis";1587;79,96;20,04;1017;82,5;17,5;570;75,44;24,56;"Até 5 mil"
4300455;"RS";"Alegria";1491;53,32;46,68;1112;47,57;52,43;379;70,18;29,82;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1348;81,75;18,25;997;79,44;20,56;351;88,32;11,68;"Até 5 mil"
