"Codigo";"UF";"Municipio";"Total";"1Resp";"MaisResp";"TotalCasal";"1RespCasal";"MaisRespCasal";"TotalFamilia";"1RespFamilia";"MaisRespFamilia";"TotalOutros";"1RespOutros";"MaisRespOutros";"Classe"
4200051;"SC";"Abdon Batista";846;79,67;20,33;244;76,64;23,36;479;77,45;22,55;123;94,31;5,69;"Até 5 mil"
1700251;"TO";"Abreulândia";760;74,08;25,92;137;69,34;30,66;376;64,89;35,11;247;90,69;9,31;"Até 5 mil"
3100401;"MG";"Acaiaca";1261;65,19;34,81;158;47,47;52,53;577;50,95;49,05;526;86,12;13,88;"Até 5 mil"
4300034;"RS";"Aceguá";1397;76,16;23,84;246;59,76;40,24;713;75,18;24,82;438;86,99;13,01;"Até 5 mil"
5200159;"GO";"Adelândia";844;56,16;43,84;203;36,95;63,05;410;49,51;50,49;231;84,85;15,15;"Até 5 mil"
3500204;"SP";"Adolfo";1200;56,58;43,42;253;47,43;52,57;605;44,96;55,04;342;83,92;16,08;"Até 5 mil"
4200309;"SC";"Agronômica";1510;68,21;31,79;289;61,25;38,75;916;64,41;35,59;305;86,23;13,77;"Até 5 mil"
3100708;"MG";"Água Comprida";709;67,98;31,73;126;63,49;36,51;322;57,14;42,55;261;83,52;16,09;"Até 5 mil"
5200209;"GO";"Água Limpa";734;83,65;16,35;175;77,14;22,86;314;79,94;20,06;245;93,06;6,94;"Até 5 mil"
2400406;"RN";"Água Nova";792;71,09;28,66;85;62,35;36,47;487;66,53;33,47;220;84,55;15;"Até 5 mil"
4300059;"RS";"Água Santa";1165;73,22;26,78;237;61,18;38,82;696;72,13;27,87;232;88,79;11,21;"Até 5 mil"
3100807;"MG";"Aguanil";1353;84,33;15,67;251;80,08;19,92;697;81,49;18,51;405;91,85;8,15;"Até 5 mil"
3500600;"SP";"Águas de São Pedro";990;69,29;30,71;222;56,76;43,24;365;56,16;43,84;403;88,09;11,91;"Até 5 mil"
4200556;"SC";"Águas Frias";724;52,76;47,24;129;41,86;58,14;471;50,32;49,68;124;73,39;26,61;"Até 5 mil"
2900603;"BA";"Aiquara";1359;82,86;17,07;150;72;28;659;76,63;23,37;550;93,27;6,55;"Até 5 mil"
3101300;"MG";"Alagoa";866;85,45;14,43;138;64,49;35,51;444;85,36;14,64;284;95,77;3,87;"Até 5 mil"
3500758;"SP";"Alambari";1525;71,41;28,59;266;60,53;39,47;847;67,53;32,47;412;86,41;13,59;"Até 5 mil"
3101409;"MG";"Albertina";898;56,46;43,54;146;47,26;52,74;514;47,28;52,72;238;81,93;18,07;"Até 5 mil"
5000252;"MS";"Alcinópolis";1587;79,96;20,04;260;73,46;26,54;752;72,74;27,26;575;92,35;7,65;"Até 5 mil"
4300455;"RS";"Alegria";1491;53,32;46,68;372;40,05;59,95;749;45,53;54,47;370;82,43;17,57;"Até 5 mil"
3500808;"SP";"Alfredo Marcondes";1348;81,75;18,25;304;79,93;20,07;638;75,71;24,29;406;92,61;7,39;"Até 5 mil"
2500577;"PB";"Algodão de Jandaíra";673;64,49;35,51;101;36,63;63,37;381;59,06;40,94;191;90,05;9,95;"Até 5 mil"
2400604;"RN";"Almino Afonso";1436;66,57;33,43;174;50,57;49,43;827;59,37;40,63;435;86,67;13,33;"Até 5 mil"
4300471;"RS";"Almirante Tamandaré do Sul";728;60,16;39,84;184;48,91;51,09;386;54,15;45,85;158;87,97;12,03;"Até 5 mil"
5200506;"GO";"Aloândia";800;73;27;188;58,51;41,49;315;63,81;36,19;297;91,92;8,08;"Até 5 mil"
3500907;"SP";"Altair";1183;76,84;23,08;162;71,6;28,4;661;71,71;28,29;360;88,61;11,11;"Até 5 mil"
4100459;"PR";"Altamira do Paraná";1380;68,55;31,45;253;49,01;50,99;754;63,4;36,6;373;92,23;7,77;"Até 5 mil"
3501103;"SP";"Alto Alegre";1375;69,16;30,84;289;51,56;48,44;713;67,04;32,96;373;86,86;13,14;"Até 5 mil"
4300554;"RS";"Alto Alegre";623;63,56;36,44;120;53,33;46,67;350;55,71;44,29;153;89,54;10,46;"Até 5 mil"
4200754;"SC";"Alto Bela Vista";678;30,09;69,91;183;14,21;85,79;326;14,42;85,58;169;77,51;22,49;"Até 5 mil"
4300570;"RS";"Alto Feliz";999;41,94;58,06;211;27,96;72,04;516;29,65;70,35;272;76,1;23,9;"Até 5 mil"
