"Codigo";"UF";"Municipio";"PopTotal";"Urbana";"Rural";"Homem";"Mulher";"H.M";"Classe";"X0.5";"X16.14";"X15.24";"X25.39";"X40.59";"X60.";"Pop15";"Taxa";"Pop15.24";"Taxa15.24";"Pop25.39";"Taxa25.39";"Pop40.59";"Taxa40.59";"Pop60.";"Taxa60.";"TotUnidDom";"X1Resp";"MaisResp";"TotalMasc";"X1RespMasc";"MaisRespMasc";"TotalFem";"X1RespFem";"MaisRespFem";"Taxa15";"X1RespCasal";"MaisRespCasal";"TotalFamilia";"X1RespFamilia";"MaisRespFamilia";"TotalOutros";"X1RespOutros";"MaisRespOutros";"Unipessoa";"TotalNuclear";"CasalSFilhos";"CasalCFilhos";"HomemCFilhos";"MulherCFilhos";"TotalFamEstendida";"EstCasalSFilhos";"EstCasalCFilhos";"EstHomemCFilhos";"EstMulherCFilhos";"EstOutros";"TotalComposta";"CompCasalSFilhos";"CompCasalCFilhos";"CompHomemCFilhos";"CompMulherCFilhos";"CompOutros";"TotalDomPartPerm";"Adequado";"Semi.Adequado";"Inadequado";"ValMedio";"Q2";"Mediana";"Q3";"MediaHomens";"MediaMulheres";"MedianaHomens";"MedianaMulheres";"mediaH.M";"medianaH.M";"Branca";"Preta";"Parda";"Amarela";"Indigena";"Br.Pr";"Br.Pa";"Br.Am";"Br.In";"Pr.Pa";"PopResDPP";"Ate70R.";"Ate1.4";"Ate1.2";"Ate60.";"TotalIndq";"Ate70R.Indq";"Ate1.4Indq";"Ate1.2Indq";"Ate60.Indq";"Total_2000";"Total_2010";"X15.24_2000";"X15.24_2010";"X25.59_2000";"X25.59_2010";"X60._2000";"X60._2010";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Analf_2000";"Analf_2010";"Indq_2000";"Indq_2010";"AnalfEInadequado_2000";"AnalfEInadequado_2010";"Total10";"Taxa10";"RGI";"RGint";"Mesorregiao";"Microrregiao"
3300100;"RJ";"Angra dos Reis";169511;96,33;3,67;49,95;50,05;99,8001998001998;"De 100 a 500 mil";8,49;15,9;17,16;26,42;23,7;8,33;3350;4,48;122;0,83;452;2,07;1020;3,99;1756;13,81;53452;77,01;22,93;33754;77,29;22,67;19698;76,54;23,38;8514;69,81;30,06;27139;71,51;28,48;17799;88,86;11,07;13,66;36513;23,22;61,68;2,4;12,69;8484;12,21;45,3;3,48;25,05;13,97;1154;9,19;23,48;3,12;15,6;48,61;53452;76,92;22,66;0,42;672;255;452;755;1424;981;1000;600;1,45;1,67;1407;1026;1082;1123;599;1,37;1,3;1,25;2,35;0,95;162295;1,59;7,56;26,2;19,89;712;9,97;30,48;60,96;54,35;8,94;5,14;3,35;1,26;8,44;4;30,75;19,95;70,08;76,92;28,2;22,66;1,72;0,42;15,65;6,17;1,83;0,66;0,68;0,16;99;2,88;"Angra dos Reis";"Rio de Janeiro";"Sul Fluminense";"Baía da Ilha Grande"
3300159;"RJ";"Aperibé";10213;86,93;13,07;49,18;50,82;96,7729240456513;"De 10 a 20 mil";6,81;13,26;15,24;24,07;26,24;14,39;5562;3,96;199;0,68;527;1,26;1696;3,55;3140;14,44;3452;76,25;23,75;2360;75,51;24,49;1092;77,84;22,16;615;65,04;34,96;1661;70,26;29,74;1176;90,56;9,44;15,21;2340;26,24;57,48;2,14;14,15;544;19,3;39,89;2,76;22,61;15,44;43;11,63;34,88;NA;23,26;30,23;3452;76,07;13,88;10,05;467;233;340;510;865;671;600;510;1,29;1,18;841;622;632;915;595;1,35;1,33;0,92;1,41;0,98;9950;1,26;7,08;33,83;24,06;980;1,33;7,55;44,59;35,41;13,34;10,6;2,42;2,12;10,71;7,94;40,38;28,84;75,11;76,07;17,35;13,88;7,54;10,05;15,03;8,36;8,04;8,36;3,87;0,86;9;4,41;"Santo Antônio de Pádua";"Campos dos Goytacazes";"Noroeste Fluminense";"Santo Antônio de Pádua"
3300209;"RJ";"Araruama";112008;95,07;4,93;48,46;51,54;94,0240589833139;"De 100 a 500 mil";7,9;14,83;16,23;22,48;24,78;13,77;17519;4,97;1101;1,34;2421;2,12;6023;5,39;7974;17,85;35807;76,83;23,11;21952;76,4;23,56;13855;77,5;22,41;6074;66,5;33,34;16795;70,63;29,36;12938;89,73;10,2;14,48;23513;25,73;56,83;2,25;15,19;6471;13,95;40,89;4,1;26,73;14,33;639;13,77;28,17;3,13;18;36,93;35807;59,48;37,76;2,76;609;203;368;666;1229;934;700;510;1,32;1,37;1385;758;877;979;1050;1,83;1,58;1,41;1,32;0,86;107407;3,13;12,32;36,05;28,05;3346;5,71;27,44;63,39;53,86;12,29;7,42;4,37;1,47;11,89;6,4;28,25;17,93;59,13;59,48;34,03;37,76;6,84;2,76;20,86;9,26;9,96;3,48;4,83;1,02;75;3,65;"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio";"Baixadas";"Lagos"
3300225;"RJ";"Areal";11423;86,87;13,13;49,56;50,44;98,2553528945282;"De 10 a 20 mil";7,68;14,6;17,45;22,91;25,18;12,19;2138;10,74;74;1,81;337;5,49;807;12,52;920;28,4;3500;72,14;27,86;1991;69,81;30,19;1509;75,22;24,78;467;61,24;38,76;1815;64,63;35,37;1218;87,52;12,48;12,8;2362;19,69;62,96;2,16;15,2;651;11,21;44,39;5,38;25,81;13,21;39;17,95;35,9;10,26;10,26;25,64;3500;33,11;64,09;2,8;514;208;357;600;1020;778;700;510;1,31;1,37;1082;612;768;942;803;1,77;1,41;1,15;1,35;0,8;11031;2,35;10,55;35,19;27,15;324;8,64;24,38;59,88;45,06;9,45;7,29;2,75;0,75;8,39;5,83;27,88;22,41;33,15;33,11;63,21;64,09;3,63;2,8;16,8;7,76;5;2,85;1,43;0,57;8;4,04;"Petrópolis";"Petrópolis";"Centro Fluminense";"Três Rios"
3300233;"RJ";"Armação dos Búzios";27560;100;NA;49,86;50,14;99,4415636218588;"De 20 a 50 mil";8,43;15,3;16,13;26,67;25,08;8,39;2746;9,86;91;1,6;319;4,2;996;10,67;1340;25,66;9012;62,94;37,01;5708;61;38,96;3304;66,28;33,63;1507;46,52;53,22;4200;52,86;47,14;3305;83,24;16,73;16,33;5855;25,7;58,58;2,6;13,12;1444;13,5;44,6;3,67;23,2;15,03;241;10,79;17,84;2,07;15,35;53,94;9012;71,65;28,32;0,03;734;272;466;765;1441;1063;900;650;1,36;1,38;1578;854;973;1277;1982;1,85;1,62;1,24;0,8;0,88;26440;0,82;5,45;22,46;17,13;13;38,46;38,46;100;38,46;7,29;4,56;2,99;0,79;7;4,03;24,13;15,05;22,72;71,65;74,53;28,32;2,75;0,03;14,19;6,92;3,63;0,09;1,39;0;18;3,56;"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio";"Baixadas";"Lagos"
3300258;"RJ";"Arraial do Cabo";27715;100;NA;49,17;50,83;96,7342120794806;"De 20 a 50 mil";7,95;14,48;15,47;22,48;26,85;12,77;7118;5,02;438;1,4;1172;2,65;2851;6,17;2657;13,21;8956;74,21;25,75;5473;74,38;25,56;3483;73,93;26,04;1521;65,35;34,58;4282;66,74;33,23;3153;88,61;11,32;14,21;5896;25,75;57,38;2,59;14,28;1623;13,49;41,65;4,56;26,93;13,37;164;8,54;29,27;4,88;18,9;38,41;8956;67,46;32,28;0,26;638;254;425;740;1331;899;800;510;1,48;1,57;1277;894;978;1243;1274;1,43;1,31;1,03;1;0,91;26461;1,67;8,46;28,81;21,27;76;19,74;40,79;77,63;75;7,19;4,55;2,03;0,65;6,32;3,47;21,89;13,45;67,11;67,46;31,56;32,28;1,33;0,26;10,91;5,6;1,92;0,09;0,84;0,05;9;1,9;"Cabo Frio";"Macaé - Rio das Ostras - Cabo Frio";"Baixadas";"Lagos"
3300308;"RJ";"Barra do Piraí";94778;97,02;2,98;47,64;52,36;90,9854851031322;"De 50 a 100 mil";7,53;13,55;15,52;23,03;26,96;13,42;3909;9,31;131;1,43;549;4,22;1439;10,75;1790;27,78;30758;76,03;23,93;18140;75,9;24,08;12618;76,22;23,7;4437;64,8;35,09;14125;69,22;30,76;12196;88;11,95;15,14;19911;22,23;57,03;2,59;18,15;5777;9,8;39,31;4,28;30,15;16,46;414;8,94;29,95;4,59;18,6;37,92;30758;64,34;34,5;1,16;614;250;407;680;1227;875;800;510;1,4;1,57;1347;758;874;941;756;1,78;1,54;1,43;1,78;0,87;92398;2,31;9,19;29,57;22,62;1117;5,73;25,69;56,49;45,93;6,88;4,48;2,25;0,83;5,38;3,11;21,46;13,81;54,82;64,34;39,89;34,5;5,3;1,16;10,78;5,56;7,49;1,38;2,13;0,17;48;3,08;"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa";"Sul Fluminense";"Barra do Piraí"
3300407;"RJ";"Barra Mansa";177813;99,09;0,91;48,25;51,75;93,2367149758454;"De 100 a 500 mil";7,38;13,59;16,37;23,57;26,86;12,23;1516;12,69;33;1,56;158;4,76;540;13,46;785;31,4;56543;81,14;18,82;35790;80,18;19,8;20753;82,8;17,12;7884;74,68;25,2;28277;76,73;23,26;20382;89,77;10,18;12,9;38750;20,29;60,66;2,34;16,71;9897;9,11;41,01;4,44;29,77;15,67;604;9,93;26,16;5,3;19,04;39,57;56543;75,98;23,39;0,63;615;255;432;700;1272;854;900;510;1,49;1,76;1309;802;860;968;871;1,63;1,52;1,35;1,5;0,93;173411;1,39;7,03;27,01;19,88;1162;3,87;23,67;63,34;54,82;6,44;3,96;1,49;0,68;4,9;2,48;24,85;14,44;65,5;75,98;32,66;23,39;1,83;0,63;8,95;3,72;2,67;0,93;0,76;0,14;39;1,36;"Volta Redonda - Barra Mansa";"Volta Redonda - Barra Mansa";"Sul Fluminense";"Vale do Paraíba Fluminense"
3300456;"RJ";"Belford Roxo";469332;100;NA;48,31;51,69;93,4610176049526;"De 100 a 500 mil";8,58;16,33;17,46;24,29;23,83;9,52;883;8,54;21;0,93;103;3,12;288;8,78;471;31,3;145677;79,23;20,71;83384;78,26;21,68;62293;80,52;19,41;19229;72,38;27,47;70902;72,49;27,48;55546;90,2;9,74;13,92;97205;19,73;60,44;2,53;17,3;26350;9,76;38,92;4,3;31,58;15,45;1850;9,41;23,73;10,22;23,89;32,76;145677;60,24;37,18;2,58;418;200;327;510;924;673;700;510;1,37;1,37;887;749;786;750;984;1,18;1,13;1,18;0,9;0,95;440136;2,76;12,58;39,93;31,16;11843;6,9;25,02;61,2;50,54;8,01;4,97;2,83;1,34;7,03;3,74;27,72;17,85;58,08;60,24;38,43;37,18;3,48;2,58;11,17;5,74;4,43;3,34;0,96;0,45;511;5,36;"Rio de Janeiro";"Rio de Janeiro";"Metropolitana do Rio de Janeiro";"Rio de Janeiro"
3300506;"RJ";"Bom Jardim";25333;60,26;39,74;50,21;49,79;100,843542880096;"De 20 a 50 mil";7,53;13,87;16,12;24,25;25,44;12,79;469;7,36;14;1,07;48;2,6;135;6,43;272;24,46;8463;74,65;25,35;5781;73,46;26,54;2682;77,22;22,78;1574;63,09;36,91;4111;69,06;30,94;2778;89,49;10,51;14,75;5958;26,28;58,17;2,35;13,19;1112;13,67;44,87;3,33;23,2;14,93;145;12,41;31,72;1,38;15,86;38,62;8463;41,96;52,66;5,38;559;242;400;625;994;823;600;510;1,21;1,18;1018;644;721;699;2100;1,58;1,41;1,46;0,48;0,89;24406;1,7;9,31;31,5;23,54;1299;6,31;27,17;61,97;51,73;17;10,74;6,03;1,81;16,91;9,09;37,74;28,4;39,5;41,96;35,64;52,66;24,87;5,38;24,6;10,98;27,15;4,25;12,52;1,68;6;1,44;"Nova Friburgo";"Petrópolis";"Centro Fluminense";"Nova Friburgo"
