Unidade da Federação,Renda.per.capita,IDH,Gini,MortalidadeInfantil,Fecundidade,Expectativa.de.Vida,Taxa.de.Analfabetismo
Distrito Federal,"3,444",0.814,0.547,10.8,1.47,81.11,1.8
São Paulo,"2,662",0.806,0.491,11.3,1.48,81.26,2.3
Rio Grande do Sul,"2,608",0.771,0.46,9.6,1.51,81.00,2.4
Santa Catarina,"2,601",0.792,0.431,9.0,1.58,82.51,1.9
Rio de Janeiro,"2,490",0.762,0.523,13.4,1.39,79.45,2
Paraná,"2,482",0.769,0.477,10.8,1.59,80.53,3.5
Mato Grosso,"2,276",0.736,0.442,14.0,1.98,77.62,3.8
Mato Grosso do Sul,"2,169",0.742,0.455,13.5,1.85,78.80,3.7
Espírito Santo,"2,111",0.771,0.483,11.6,1.72,81.63,3.9
Goiás,"2,098",0.737,0.463,12.4,1.62,76.97,3.6
Minas Gerais,"2,001",0.774,0.449,11.2,1.48,80.42,4.4
Tocantins,"1,737",0.731,0.477,10.6,1.87,76.81,6.6
Rondônia,"1,717",0.7,0.443,12.2,1.73,74.50,5.1
Rio Grande do Norte,"1,616",0.728,0.525,11.1,1.48,79.17,10.4
Roraima,"1,538",0.699,0.530,23.8,2.26,75.28,4
Amapá,"1,514",0.688,0.509,20.9,1.94,77.16,5.4
Sergipe,"1,473",0.702,0.5,18.4,1.57,75.90,10.8
Pernambuco,"1,453",0.719,0.532,13.2,1.56,77.62,10.1
Paraíba,"1,401",0.698,0.495,12.9,1.62,76.78,12.8
Bahia,"1,366",0.691,0.481,14.8,1.47,76.75,9.7
Piauí,"1,350",0.69,0.493,14.9,1.61,74.00,13.8
Pará,"1,344",0.69,0.492,15.0,1.73,75.21,6.5
Alagoas,"1,331",0.684,0.518,13.5,1.79,75.40,14.3
Acre,"1,271",0.71,0.504,16.9,1.91,77.49,9.3
Amazonas,"1,238",0.7,0.474,17.0,1.96,75.18,4.9
Ceará,"1,225",0.734,0.489,11.7,1.51,76.87,11.7
Maranhão,"1,077",0.676,0.487,14.8,1.68,74.11,11.4
